comment,paslon,sentiment
pak hendi lebih pengalaman di birokrasi drpd gus yasin,"andika_hendi, luthfi_taj",netral
coba deh kalian simak dari awal full debat semua omongan paslon 2  janji nya banyak bgt kaga cagub nya kaga cawagub nya  yang kaya gini nih biasanya yang udah udah ketika terpilih ujung nya bakal gak beres jateng liat ajh ketika terpilih jangan kan inget sama rakyat  inget sama wakil nya ajh nomer 2 pake salah ngomong hahhah,luthfi_taj,negatif
purbalingga 01,andika_hendi,positif
02 memang jos,luthfi_taj,netral
hidup tpp,unknown,positif
02 lu ngapain aja udah menjabat berpuluih puluh tahun di jateng,luthfi_taj,positif
saya kabsemarang tetep pilih perkasameski saya no merah,andika_hendi,negatif
"jatim  

karena pemimpinya dari kandang ngibul 

loh kok fakta",unknown,negatif
"ah sudahlah

 
 kok bisa jawa tengah termiskin dari jabar jatim  

karena pemimpinya dari kandang ngibul 

loh kok fakta",unknown,negatif
02 dari dulu janji janji tok aku orang awam jawa tengah masih tetap percaya sama tni biasanya lebih merakyat,"andika_hendi, luthfi_taj",negatif
dari debat ini saya dapat menyimpulkan no 2 lebih ngumbar janji no 1 lebih mikir strategi,"andika_hendi, luthfi_taj",netral
ngopeni ngalokoni pret,unknown,netral
jateng perkasa,andika_hendi,netral
era banteng d jateng jadi yg termiskin eronis tp fakta,andika_hendi,netral
pilih pak andika werkudorone jawa tengah,andika_hendi,positif
janji mu cuma pas kampanye tok fi luthfi telek lah,luthfi_taj,negatif
mensos yg milih lutfi cuma orang  10  yg milih pk jendral andika perkasa hendi  80,"andika_hendi, luthfi_taj",negatif
lutfi ngopeni sabu bukan ngopeni  masyarakat te  buang sambo  pilih rambo,"andika_hendi, luthfi_taj",negatif
tak pilih sg pernah meng desaku we 01 in syaa allah saged,andika_hendi,negatif
tni cukup pak prabowo petugas partai minggir saja,"andika_hendi, luthfi_taj",netral
pa andika sama mas hendi kaya anak kembar muka mirip sih,andika_hendi,netral
"tni yg sejuk dn mengayomi rakyat
sy blom pernah melihat polisi ngopeni rakyat adanya kalau ada kasus pasti rakyat kecil diperas dn kalah karena tdk punya duit sy sdh pernah mengalami","andika_hendi, luthfi_taj",negatif
andhika_hendi for jateng 2024,"andika_hendi, luthfi_taj",positif
andika,andika_hendi,netral
tni andika,andika_hendi,positif
pati andika,andika_hendi,netral
01jawa tengah menyala,andika_hendi,netral
lutfi sombong  yg berwenang  untuk menangkan pemimpin bukan jokowi tapi masyarakat,luthfi_taj,positif
"paslon no2 kelihatan gak pede sekali berkalikali nyebutin bohirnya tau dong siapa yg dimaksud 
padahal nama sang bohir sudah cukup babak belur akibat kelakuannya sendiri di periode kedua
semoga jawa tengah dapat pemimpin yang berkualitas bukan hanya mengandalkan ordal",luthfi_taj,negatif
pati all in andika bukan sambo,"andika_hendi, luthfi_taj",negatif
wonosobo 01,andika_hendi,positif
1 lhos,andika_hendi,positif
1,andika_hendi,positif
1 x andika ttp andika karena hanya tni lah yg sesungguhnya pengayom masarakan bukan polisi polisi hanya cari2 kesempatan untuk cari cuan kpda rakyat kecil,"andika_hendi, luthfi_taj",negatif
tni maju brsama rakyat,andika_hendi,positif
02 terus mengatakan kami akan tapi tidak memberi tahu bagaimana caranya untuk membangun janji janji itu,luthfi_taj,netral
ada kartu ngopi gratis tuh,unknown,positif
lutfi mirip tessy  habiburohman,luthfi_taj,netral
jepara dukung 01,andika_hendi,positif
insyaallah jawa tengah perkasa bersam gubernur andika n wkl gubernur hendi,andika_hendi,negatif
kok 02 liat contekan mulu gimna mau kerja klau debat aja liat contekan pak klian klau mau d pilih dri kta2 kalian tnpa contekanliat 01 mrka gk mliat contekan tpi mrka dri isi pmkirn nya yg tlh dia tmpung dari masyrakat,"andika_hendi, luthfi_taj",negatif
saya pendukung pak prabowo untuk pilkada kali ini saya dukung 01 andika hendi jateng perkasa,"andika_hendi, luthfi_taj",positif
andika hendi luar biasa jateng lebih baik di pimpin andika hendimantap,andika_hendi,netral
wonogiri dan sekitarnya dukung pa andika gubernur jateng,andika_hendi,positif
bintang 3 sama bintang 4 levelnya berbeda,"andika_hendi, luthfi_taj",netral
debat yang menyenangkan semua cinta damai siapapun yang terpilih nanti semoga bisa sesuai dengan apa yang di haturkan malam tadi salam cinta damai,unknown,positif
tak perlu banyak ngopenitapi dari ambisi mu kelihatan 02 01 lebih tegasberwibawaterbuktii menjadi pemimpin rendah hati,"andika_hendi, luthfi_taj",negatif
andika hendi the best gubernur jateng selanjutnya,andika_hendi,positif
01 bersama masyarakat jawa tengah  tni gass pol,andika_hendi,positif
andikahendi 01,andika_hendi,positif
01 pk andika perkasa hendi gas pol,andika_hendi,negatif
pk andhika perkasa hendi jawa tengah yg terbaik,andika_hendi,positif
yes rambono sambo,"andika_hendi, luthfi_taj",positif
pak andika tidak banyak bicara tp mengamati lawan bicaranya beliau smart berintegritas terlihat wibawanyaa  lopyu pokoke pak,andika_hendi,netral
bismillah ya allah tolong beri kesempatan buat dpet pemimpin baikk kaya pak andhika dan pak hendi yaallah,andika_hendi,positif
andika omku  perkasa,andika_hendi,netral
polisi ko mau nyalon wong sekarang yg pungli2 itu juga banyakan dari polisi2,luthfi_taj,negatif
sebagai mahasiswa administrasi publik jadi penasaran dengan birokrasi di semarang di masa pak hendi menjabat,andika_hendi,netral
dulu masalah wadas kan kapoldanya dia kan dia yg nggusur warga,luthfi_taj,negatif
paslon 01 layak  pantas,andika_hendi,negatif
kalian percaya kah kalau polisi yg ngomong,luthfi_taj,negatif
oke gas oke gas 01 for jateng,andika_hendi,netral
ngopeni ngelakoni korupsi,unknown,negatif
jadi nyesel dpd kemaren pilih gus yasin udah jadi malah nyawagub,luthfi_taj,negatif
ngopeningelakoni ngapusi,unknown,negatif
mc nya bilang huruf 5 harus nya bilang angka,unknown,negatif
"sdh gampang saja pake logika  pengalaman hidup  sampeyan menawi diaturi kagem milih ajeng milih piyayi saking tni nopo polri
menawi boten wonten kepentingan nopo2 pasti pilih tni","andika_hendi, luthfi_taj",netral
lagi2 yg di kedepankan jokowi pdhl selama menjadi presiden apa yg di lakukan buat jateng pdhl dia termasuk orang jateng tp nyatanya jateng masih miskin di banding propinsi lainyancb solo kalo bkn anaknya yg jd walkot saya kira ya sama aja gk ada kemajuan jd cb berfikir dikit biar ngerti n paham,luthfi_taj,negatif
pilihlah sesuai hatimu,unknown,positif
kandang banteng besok di ratakan lagi ingat 16,andika_hendi,negatif
jangan salah paham ya gus yasin maju di wkl gubernur karna diminta,luthfi_taj,negatif
02 lebih relevan dan realistis in shaa allah yg terbaik yg menang,luthfi_taj,positif
kami sekeluarga pro pak andika hendi,andika_hendi,negatif
bismillah saya tetep pilih 02,luthfi_taj,negatif
89 yg komen pak andika,andika_hendi,negatif
"kualitas udh terlihat
1",andika_hendi,negatif
kabupaten semarang untuk pak andika hendi,andika_hendi,positif
keliata dr ekpresi muka kok mana yg kopeten mana yang omong saja,unknown,negatif
pak andika,andika_hendi,netral
setelah lihat debat gak ragu lagi mantab bp andika d bp hendardi siap bergerilya merapatkan barisan utk kemenangan bapakkeduanya sy tdk kenal d blm pernah ketemu tp melihat kecerdasan d kerendahan hati bapak sy berdoa tuhan berkenan mjdkan gubernur jawa tengah amin sukses bapak tuhan berkati,"andika_hendi, luthfi_taj",negatif
"jawab jujur kang pilih tni nopo polri





bebas hak pilih ki ojo di pekso  ttp santun jangan saling menjatuhkan 


nak aku jujur ae tni orasah di go sepaneng pnting do rukun nyawiji ojo do pecah mergo bedo pilihanbeda pilihan ki biasa jenenge pemilu ki",andika_hendi,negatif
iklane ngisin ngisini wong jateng mbok yo bintange diganti jin soko iklan djarum,unknown,negatif
aq golput wae,unknown,netral
pokoke siji ya tetep siji,unknown,negatif
sy pilih 02 nderek yai,luthfi_taj,positif
ok 02,luthfi_taj,netral
saya warga klaten pilih dari tni yg jelas berjuang utk rakyat pilih 01 bpk andhika perkasa,andika_hendi,negatif
semoga pak andika menang,andika_hendi,negatif
pak andika mantap ora contek2an,"andika_hendi, luthfi_taj",negatif
kalau dari pengamanan saja yg harusnya mengayomi tapi tetep saja kena pungli,unknown,negatif
"februari 2024 sudah milih taj yasin ternyata gak amanahwis dadi kok malah mblenjani 
november yo mosok arep milih meneh yo prei kenceng",luthfi_taj,negatif
sing penting mlakune kedepane piyeawke dw ora ono singerti,unknown,positif
andika hendi juoz,andika_hendi,positif
pilih yg tidak main keroyokan,unknown,negatif
debat bawa2 nama orang lain  tandanya ga pede ga tau apa yg akan dia kerjakan,luthfi_taj,negatif
lutfi pamer didukung jokowihahahamalah gak milih anda karena didukung j,luthfi_taj,negatif
01,andika_hendi,positif
anti ladusing  daerah yg d pimpin ladusing pungli nya wo habis2,luthfi_taj,negatif
andika hendi mase,andika_hendi,netral
jelas panggah pak andika,andika_hendi,positif
pak lutfi kelihatan banget klau skilnya kalah jauh dr pak andhika memang tampak banget klau pak andhika lebih cerdas dan pandai dr pd lutfi,"andika_hendi, luthfi_taj",negatif
amin rais tetap idola,unknown,positif
kadang santri dibuat kedok politik kan gak masok,unknown,netral
kok yo masih aja bawa2 presiden to pakdeg isih to,luthfi_taj,negatif
tetap gass 02 2,luthfi_taj,positif
jangan mau jateng diobok obok sambo cs lembaga terkorup di indonesia masih di pegang oleh polisi lho,luthfi_taj,negatif
pak andika tulus untuk rakyat sehingga tidak menggebu gebu haus kekuasaan masyarakat bisa melihat dari sikap dan tindakan pak andika yang tenang,andika_hendi,positif
ngopeni ngelakoni ngapusi,unknown,negatif
lebih nyaman punya gubernur dari tni pak andika hendi god bless you,andika_hendi,negatif
pak andika tetep o,andika_hendi,negatif
pak andika semangat,andika_hendi,netral
pak andika,andika_hendi,netral
pak andika yes bravo tni,andika_hendi,positif
santai tegas pak andhika,andika_hendi,netral
pak andika wibawa danmerakyat kami anak pati dukung pak andika,andika_hendi,netral
jateng bakalan panen amplop intine ono seng ngewehi amplop tampani ae tp pilihan tetep rambo ojo sambo ok bos salm songko wong solo  siap nyunslepke jokowi neng kandange dewe kene rambo kabeh ora ono sambo,"andika_hendi, luthfi_taj",negatif
lbh pilih tni sdh terbukti kalo polri ingatnya sambo rudiana cs,"andika_hendi, luthfi_taj",negatif
02 gas,luthfi_taj,positif
mantap no1 memang oke,andika_hendi,netral
no 1 dong,andika_hendi,negatif
no 2 memang tau byk soal jateng tp dari situ jg tau bgmn cara mengakali orang2 wkwwkwk,luthfi_taj,negatif
meh milih pak andika tapi rak seneng mbek partaine,andika_hendi,netral
pokoknya rambobukan ssmbo,andika_hendi,negatif
"osama bin laden gubernur pilihan jawa tengah 

merdeka",unknown,positif
mf gus anda tidak konsisten wagub belum selesai mundur nyalon dpd kepilih dpd mundur nyalon wagub lg mf plin plan andai si kae tidak terhalang uu pilkada jenengan tidak dipilih kim plus2,luthfi_taj,negatif
saya masih teringat kadus wadas purworejo,unknown,netral
keduanya bagus semua siapapun yang jadi semoga jateng semakin maju,luthfi_taj,positif
pak andika menang,andika_hendi,positif
polisi po tni kih,"andika_hendi, luthfi_taj",netral
orang cerdas pilih rambo,andika_hendi,negatif
debat versi membaca contekan,unknown,netral
tni sih,andika_hendi,netral
pak andika lebih cerdas tegas dan wibawa no 1 pilihan warga jawa tengah,andika_hendi,positif
02 ngestoaken dawoh,luthfi_taj,negatif
pendukung 02 gak ada yg menjelekkan pendukung satunya komennya wow parah2 ngomongnya,"andika_hendi, luthfi_taj",negatif
guus yasin 02,luthfi_taj,positif
02,luthfi_taj,netral
02,luthfi_taj,netral
02,luthfi_taj,netral
nomor 2,luthfi_taj,negatif
02,luthfi_taj,netral
gus yasin,luthfi_taj,positif
nderk gus yasin,luthfi_taj,netral
sy dari sulawesi tengah dukung pak andika,andika_hendi,netral
otak waras orang hebat milih nomor 2 orang jateng asli,luthfi_taj,negatif
02,luthfi_taj,netral
gus yasin,luthfi_taj,positif
saya juga dendam dgn oknum polisi jadi kita harus pilih pensiunan tni gas poll pak andika p,"andika_hendi, luthfi_taj",negatif
01,andika_hendi,positif
"hasil survey menang rambo
tapi hasil nyata kpu bisa terbalik
ketika kepala desa bergerak
sambo bertindak
jokowi keluar memihak
kpu jadi budak
itu barang haram bisa menang","andika_hendi, luthfi_taj",negatif
gatot kacane jateng,unknown,netral
insyallah ndan luthfi gus yasin menang,luthfi_taj,negatif
sy seneng tnitp syg kenapa kok mau jadi petugas partai pdipsy yakin andika kalah,andika_hendi,negatif
prabowo subianto itu orang jateng kebumen banyumas dan mendukung 02 yaitu pasangan ndan luthif gus yasin apalagi paslon 01 di usung banteng yang meresahkan,"andika_hendi, luthfi_taj",negatif
no 2 bawa bawa prabowo jokowi terus,luthfi_taj,netral
01,andika_hendi,positif
gus yasin plinplan banget yaa wkwk,luthfi_taj,negatif
ketika polisi bicara saya skip,luthfi_taj,negatif
no 2 jadi aamiin aamiin aamiin,luthfi_taj,negatif
luthfi kemplinti ngono kok ape dadi gubernur y sombong,luthfi_taj,positif
aku jateng pilih pak andika,andika_hendi,negatif
jateng yg di butuhkan pemimpin no urut 2 aamin aamiin aamiin jadi,luthfi_taj,negatif
agama yudaisme yahudi sudah jadi agama yg di akui negara tah  saat mulai kok pada ngucapin shalom  apa saya salah dengar,unknown,negatif
"kalau paklutfi ma gus yasin jadiwagub dan cawagub insyaallah jateng gayeng makmur aman
baldatun toyyibatun warobbun ghofur",luthfi_taj,negatif
jateng perkasa 1,andika_hendi,positif
warga jateng yok menangkan andika  hendi luthfi hanya boneka kim,"andika_hendi, luthfi_taj",negatif
menang no 2 pak lutfi gus taj yasin,luthfi_taj,negatif
01 fransiskus,andika_hendi,positif
ayoh supir kalo ga pingin ada pungli pilih dari tni,andika_hendi,negatif
02,luthfi_taj,netral
02 gus yasin dan pak luthfi religius nasionalis nasionalis religius,luthfi_taj,negatif
ingat supriyani guru honorer gajinya hanya 300 ribu dipalak 50 juta rupiah oleh anak buahnya ahmad luthfi rakyat jateng sudah cerdas jelas pilih cagub andika perkasa,"andika_hendi, luthfi_taj",negatif
luar biasa pak luthfi,luthfi_taj,netral
bismillah insyaallah pak andika menang  aamiin,andika_hendi,positif
andika,andika_hendi,netral
pak andika pak hendi top markotopkeliatan santuy bergebu2 namun gak rakus kekuasaan keliatan semangat utk membangun jateng,"andika_hendi, luthfi_taj",positif
no 1,andika_hendi,negatif
debat pertama para calon di gendong wakil2nya,luthfi_taj,positif
tni bolone rakyat,andika_hendi,positif
demak dukung luthfi gus yasin,luthfi_taj,netral
rambo,andika_hendi,negatif
pak andika lebih adem dan santun murni tanpa contekan,andika_hendi,positif
hidup tni,andika_hendi,positif
dari wajahnya keliatan wibawa dan karakternya satunya cara bicaranya aja agak cepet alisnya mengkerut,andika_hendi,negatif
pernyataan jendral handika blunder  buat pdip karena gebernur  sebelumnya ganjar pranowo adalah kader pdip,andika_hendi,netral
no banteng,andika_hendi,negatif
"mau siapapun gubernurnya jateng saya rasa gitu2 saja perkembangan dan kemajuan jateng
sangat sulit untuk ngimbangi kemajuan provinsi lain sperti jabar dan jatim
soalnya klo kemajuanya bisa sperti jabar dan umr nya beda tipis
takutnya pabrik2 dijabar dki banten para pedagang kaki lima para kuli bangunan dll
pekerjanya jdi berkurang scara dri semua lini kebanyakan orang2 dikabupaten jateng
gk ada lg orang2 jateng merantau dan bisa2 tak ada lg mudik
itu unekuneku selama ini",luthfi_taj,negatif
ok gass no 2 paling pas,luthfi_taj,netral
ini debat yg luar biasa kedua saling mendukung visi misi mengkritisi tapi memberi solusi tdk menjatuhkan satu sama lain kedua nya punya wibawa terimakasih bapak2 calon gub dan wagub sudah memberikan debat yg cerdas kami menjadi terbuka pikirannya utk siap memilih siapapun yg jadi itulh yg terbaik,"andika_hendi, luthfi_taj",negatif
"aku wong purwokerto pilih rambo 
pak andika menyala",andika_hendi,negatif
jawaban no 1 konyol semua gak ada yang tepat dan gk yambung jateng ful internet wong jakarta kok mau mimpin orang jawa kussya tengah ya waguu lurr  rasional aj 02 menang,"andika_hendi, luthfi_taj",negatif
saya berharap bpkandika menang di tgl27 mendatang pilgub jateng amin,"andika_hendi, luthfi_taj",positif
jendral andika,andika_hendi,netral
"hancurkan banteng 
al in 02
semangat kawal sampai jadi 
gus kuh","andika_hendi, luthfi_taj",negatif
no1 pilihan ku,andika_hendi,positif
yoyok betah isin,unknown,negatif
rakyat udh tau klakuan para ladusing diluaran sana  ladusing yg baik hanya ada di tv,unknown,negatif
polisi lawak,luthfi_taj,negatif
lutpi sak drunge nyalon wonge ng ndi sopo seng kenal,unknown,negatif
rambo yess ladusing no,andika_hendi,negatif
jateng tetap 01 baju loreng bukan sambo,"andika_hendi, luthfi_taj",negatif
paling tepat 01 tanpa nyontek ketika jawab pertanyaan tegas santai karna tidak terburu buru karna nyonten pak andikahendi emang jos,andika_hendi,negatif
saya bukan banteng pilwakot semarang sy pilih yoyok tapi gubernur saya pilih andikahendi ex walikota terbaiku kalau ustad saya pilih gus baha sebagai panutan,"andika_hendi, luthfi_taj",negatif
02 banyak visi dan misi tapi pembuktian elektabilitas dipolri menurun karna tdk bisa menyelesaikan kinerjanyaa mlh dekengi para korupsi mafia tanah,luthfi_taj,netral
02 mulai awal  akhir kok nyontek terus  wes ndak masuk,luthfi_taj,negatif
01,andika_hendi,positif
kenapa tad yasin jadi seperti itu ya sy pilih dia fadi dpd karena dulu dia wagubnya pak ganjar tapi kemarin saat debat tidak pernah sama sekali dia menyebut pak ganjar padahal selama 5 tahun hasil kerja dia pasti atas persetujuan dan kebijakan pak ganjar lupakulitnya,luthfi_taj,negatif
"02 jangan lupa promosikan dekengannya biar semua tau 
tapi maaf 1 suara saya juga menentukan anda
andikahendi jateng 1","andika_hendi, luthfi_taj",negatif
"ingat tni garda terdepan untuk melindungi negara
lebih di cintai masyarakat daripada si ono",andika_hendi,netral
bismillah semoga pak andika menang mimpin jateng rendah hati dan berwibawabravo pak andika,andika_hendi,negatif
kenapa saya tidak pilih lutfi karena selama jadi kapolda masak kasus sukolilo tidak diketahui dari awal sehingga terjadi korban baru dibereskan setelah viral seharusnya ada pencegahan,luthfi_taj,negatif
"santri iku ya bolo tni 
santri kok melu polisi","andika_hendi, luthfi_taj",negatif
rambo bukan sambo sukses bpandika  relawan jateng siap sangat mendukung,"andika_hendi, luthfi_taj",positif
pekalongan siap pak andika bravo tni citramu emas di mata masyarakat,andika_hendi,positif
love you tni,andika_hendi,positif
cagub 02 jawaban nya diajarin wakilnya kelihatan kurang siap,luthfi_taj,negatif
1,andika_hendi,positif
pak andika,andika_hendi,netral
ojo sampai pungli merajalela,unknown,negatif
cagub no 2 luthfi dan gus sibuk lht contekan,luthfi_taj,negatif
bocahe dewejgn pilih org luar  pilih yg pernah kerja di jateng  coblos no 2  terbukti visi misi dan jawaban yg eleganpilpres no 2 menang pilgub jg no 2,luthfi_taj,negatif
"apapun partainya insya allah tetap pk andika gubernur nya
baldatun thoyyibatun wa robbin ghofur 
shollu alaa muhammad",andika_hendi,negatif
ak org jateng tpi ak merantau di jkt kira2 bsa ikut nyoblos gk ya di perantauan,luthfi_taj,negatif
solo andika perkasa,andika_hendi,netral
kelihatan jauh beda kecerdasannya cuy andika go go go,andika_hendi,netral
pak kyai ngrumat pondok mawon tak kei suara dadi dpd malah nyalon wakil meneh,unknown,negatif
wes jelas di kei tni bintang 4 sekelas presiden nak iseh mileh polisi jan ra ngerti meneh,"andika_hendi, luthfi_taj",positif
debat ae iseh moco ngko nak ngadepi rakyat terus piye lawak lutpi,unknown,negatif
rekam jejak e lutpi di ngeti sek,unknown,negatif
andhika keliatan panik,andika_hendi,negatif
pak andika tanpa banyak catatan semua sudah ada dalam pemikirannya salute,andika_hendi,positif
"02 oke oke oke  insya alloh menang menang menang
the best rambo  jawatengah perkasa","andika_hendi, luthfi_taj",positif
02 oc,luthfi_taj,netral
pak gatot for jateng,unknown,positif
jangan liat partainyatapi liat ketulusan calon gubenurnya,unknown,negatif
keliatan mana yang tulusmana yang cari jabatanpercaya saja pilih gatotkocone jateng,unknown,negatif
andika jos,andika_hendi,netral
bismillah andhika  hendi untuk jateng yg lbh baik,andika_hendi,netral
bismillah andhika  hendi untuk jateng yg lbh baik,andika_hendi,netral
bismillah andhika  hendi untuk jateng yg lbh baik,andika_hendi,netral
jadilah anak muda yang pintar memilih masa depan jawa tengah 5 tahun mendatang,unknown,positif
coba sentil wilayah jateng kab brebes kecamatan bantarkawung dskuntuk signal set top box saja gak adatolong di perhatikanterimakasih,unknown,positif
terbaik ko umk paling jelek lapangan pekerjaan paling sulit dicari pie to lik,unknown,positif
pilih rambo bukan sambo,"andika_hendi, luthfi_taj",negatif
saya orang tangerang  masyarakat jateng pilih tu andika sama rakyat amanah,andika_hendi,positif
gus yasin,luthfi_taj,positif
pak andika orangnya pinterberwibawa cara berbicara santun dan tetatur,andika_hendi,positif
24025 kok kepotong,luthfi_taj,negatif
pak andika joss,andika_hendi,netral
saya dari kuningan jabar mendoakan bapa andika perkasa smoga sukses paandika orang nya baik sama rakyat ga sombong salam dari kuningan,andika_hendi,positif
mobil listrik di indo menurutku masih sama spt mobil minyak biasa krn listrik indo mayoritas masih dr pltu yg itu dr batu bara,unknown,negatif
"lebih bagus lg klo pak andika menjelaskan bgmn kita menggunakan air permukaan kalau tdk ada sungaiair sumur biasa yg airnya tdk keluar tdk hanya pajakregulasilarangan sumur bor dsb nya masyarakat yg susah

pak lutfi sudah lumayan dgn desalinasi di area dekat laut yg daerah gunung bagaimana

kalau ada yg lebih lengkap lebih bagus","andika_hendi, luthfi_taj",negatif
"gugu kae deloke paslon no 2  wolak walek catetan omongane clemat clemot orak pas salah terus genah wedi kalahe wz tegang wajahe 
pokoke bismillah yakin mantap lillahitaala pilih 01 andikahendi jateng perkasa","andika_hendi, luthfi_taj",negatif
"ngapunten guz selama 5 tahun ngapain aja  tambang tambang yang ada di pegunungan kendeng tidak di cabut izinya malah semakin besar seharusnya ketika anda menjabat sebagai eksekutif berwenang menyelesaikan masalah tambang galian c bencana banjir di kabupaten pati kabupaten kudus kabupaten grobogan kabupaten demak yang mengalami banjir terbesar yang menutup akses jalan pantura yang artinya menghambat perekonomian jateng khususnya itu terjadi di priode anda bencana banjir di kabupaten pati dan kudus seharusnya bisa menjadi bahan evaluasi apa penyebab banjir saya sebagai orang awam aja mengerti apa penyebabnya penyebabnya yaitu 1 tambangtambang di daerah pegunungan kendeng dan 2 penggantian pohon jati menjadi pohon jagung solusi 1 tutup tambang 
2 mengintruksikan perhutani mengenai sosialisasi bagaimana  jika pegunungan ini jangan di tanami jagung karena pola pikir masyarakat ingin menanam yang 1 tahun bisa panen kita kasih solusi masyarakat agar menanam alpukat yang hanya menunggu 4 tahun dan selebihnya bisa panen setiap tahun tanpa menanam kembali  paling parah persoalan yang saya keluhkan yaitu mengenai tambang selama menjabat kemana saja guz bisa di cek sendiri sampe detik ini jalanan dari sukolilo menuju desa prawoto hancur lebur 1015 meter bagus 50100 meter jelek  untuk kali ini saya memberikan kesempatan kepada pak andika dan pak hendi semoga penanganan tambang dan penggarapan tani di gunung kendeng bisa lebih baik lagi","andika_hendi, luthfi_taj",negatif
serba salah no 1 unggul karena pak jokowi yg nomer 2 mumpuni karena sudah terbukti dari kinerja pak hendi sayangnyapartai pengusungnya itu yg jadi masyaallah,"andika_hendi, luthfi_taj",negatif
nomer siji,unknown,positif
seribu koment semua mendukung pak andika,andika_hendi,positif
pilih rambo jgn pilih sambo,"andika_hendi, luthfi_taj",negatif
kami tetap milih pak andikajgan pilih polisi  untuk jawa tengahpolisi berpihak  sama orang yg berduit,"andika_hendi, luthfi_taj",positif
ladusing sibuk lihat tulisan,unknown,netral
terus selama ini jadi wakil gubernur ngapain aja kl tempat kelahirannya aja tidak di perhatikan,unknown,netral
jngn sampe pilih si ladusing yg jdi kacungnya si jkw,luthfi_taj,negatif
semua komentar untuk andika hendi menuju jateng perkasa,andika_hendi,positif
tolong keluarga saya yg di jawatengah  pilih pak andika,andika_hendi,negatif
"melihat sekilas aja udah kelihatan mana yg punya intregitas tinggi

pak andika dan wakilnya kelihatan lebih tenang

saya netral karena bukan orang jateng 


tapi dilihat dari semuanya lebih condong ke pak andika dan wakilnya


semoga allah mengabulkan niat baik bapak

dan semoga gak di setir partai",andika_hendi,netral
andika perkasa 1 putaran,andika_hendi,negatif
andika hendi untuk jateng perkasa,andika_hendi,netral
lha kok no 2 sll bwa contekansll bc contekanksh an amat,luthfi_taj,netral
pak andika perkasa orang cerdas smart,andika_hendi,positif
"rambo yes
sambo no","andika_hendi, luthfi_taj",negatif
buat apa pilih pemimpin yg disetir ya ujung2nya ya tidak beres akan membawa benih2 yg tidak baik hati2ya kamana ya ke itu2ya kan hati2 saja luur dan kita harus was2 luuroke,luthfi_taj,negatif
anak3 sy biadanya beda ma ibuke sejarang sana pak andika,andika_hendi,netral
suka sama kecerdasan dan kebaikan pak andika,andika_hendi,positif
gusy pilih siapa y bsok,luthfi_taj,negatif
aku warga jateng jadilah pemimpin yg adil,unknown,positif
duite cpo om go bayar utang,unknown,netral
saya dukung pak andika berwibawacerdas berakhlak,andika_hendi,negatif
luthfi keliatan seperti sudah tau pertanyaannya dan jawaban terkesan hafalan wkwk,luthfi_taj,netral
"tenang pak 01
biarkan 02 berkampaye trs","andika_hendi, luthfi_taj",netral
semoga pak andikahendi di berikan kemudahan menjadi jateng 1,andika_hendi,negatif
tni sendiri nganggap andika penghianat skrng jelas2 dia kandidat boneka drama mata kita belum kebuka btw dulu hrusnya ga ush pilih pak prabowo biar nyahok lu gua cukup ngamatin dr luar krusakan yg hakiki n harga diri negara yg rendah krn masi banyak boneka drama,"andika_hendi, luthfi_taj",negatif
tni sendiri nganggap andika penghianat skrng jelas2 dia kandidat boneka drama mata kita belum kebuka btw dulu hrusnya ga ush pilih pak prabowo biar nyahok lu gua cukup ngamatin dr luar krusakan yg hakiki n harga diri negara yg rendah krn masi banyak boneka drama,"andika_hendi, luthfi_taj",negatif
tni sendiri nganggap andika penghianat skrng jelas2 dia kandidat boneka drama mata kita belum kebuka btw dulu hrusnya ga ush pilih pak prabowo biar nyahok lu gua cukup ngamatin dr luar krusakan yg hakiki n harga diri negara yg rendah krn masi banyak boneka drama,"andika_hendi, luthfi_taj",negatif
tni sendiri nganggap andika penghianat skrng jelas2 dia kandidat boneka drama mata kita belum kebuka btw dulu hrusnya ga ush pilih pak prabowo biar nyahok lu gua cukup ngamatin dr luar krusakan yg hakiki n harga diri negara yg rendah krn masi banyak boneka drama,"andika_hendi, luthfi_taj",negatif
tni sendiri nganggap andika penghianat skrng jelas2 dia kandidat boneka drama mata kita belum kebuka btw dulu hrusnya ga ush pilih pak prabowo biar nyahok lu gua cukup ngamatin dr luar krusakan yg hakiki n harga diri negara yg rendah krn masi banyak boneka drama,"andika_hendi, luthfi_taj",negatif
orang jawa tengah selalu mengutamakan adab dan unggah ungguh dan inilah yang di cerminkan pak andika tatas tetes lan mrantasi,andika_hendi,positif
1 pokoke,andika_hendi,negatif
siapa yg nonton d ytb hp layar dibesarkan trs fokus sm org botak baju hitam berkacamata _,unknown,negatif
jateng pasti lebih baik d tangan andika hendi,andika_hendi,netral
sampang sempor tetep no 1 pak andika perkasa,andika_hendi,negatif
wkwk ono kasus wingi nek iseh ono sek milih brarti goblok bgt calon pemimpin kongono,unknown,negatif
kok jawabnya liat teks mulu,unknown,negatif
saya percaya paslon 1 pak andika dan pak hendi mampu memberikan yang terbaik jika memimpin jawa tengah,andika_hendi,positif
"gilak public speaking kedua paslon bagus bgt
sbnyak nonton ini yang seru sih sama2 pinter",luthfi_taj,negatif
andika,andika_hendi,netral
andika perkasa bersama rakyat,andika_hendi,positif
jateng wajib pilih rambo jangan sambo jateng cinta tni dari pada polri andika hendy 1,"andika_hendi, luthfi_taj",negatif
