comment,comment_target,sentiment
all today fired atacms were shot down and we wonder whether ukraine will be able to defend itself from the incoming russian retalliation on their provocation,"russia, ukraine",negatif
putin will make empty threats and do nothing as usual,russia,negatif
fund ukraine republicans fault,ukraine,negatif
and this is exactly why nato exists and now putin is expanding it at a rate faster than ever before in history great job putin,russia,positif
president trumps victory changes the game until january 2025 the deep state via the servile bidenobama administration will try to sabotage trump the great sovereign head of state putin will not fall for the nuclear escalation trap,russia,positif
you cant trust rusia they always lie look at the way he started the war he said that the army on the border of ukraine is for training then he actually attacked,ukraine,negatif
you cant even fight ukraine on your own and now this same ol same song and dance such a little man in more ways than one,ukraine,positif
putin states to the world please stop making me look weak i know i said i would finish this war in just 2 weeks now it 1000 days i know the world saw my country as being the 2nd largest army in the world and that has been proven false my army have lost the will to fight and i have to resort to using n koreas to fight for russia when my own country men will not fight for me putin i used to have a substantial stockpile of conventional weapons but now we have greatly depleted those reserves all i have left are icbm which cost too much to use and very hard to replace please take pity on me this poor frail old man we call putin,russia,negatif
russia is embarrassingly weak,russia,negatif
ukraine is like a 5 yr old child asking his father to give him a stick so he can fight mma fightermma fighter is acting his best to show he is fighting the kid when he can axtually end it in seconds,ukraine,negatif
keep pushing them frenchythe russian is slow to saddle up for a fight but when his saddle is finally on god help you he is not hesitating the russian is a terminator once you started the count down,russia,negatif
none of the western officials take putin seriously he did not dare to supply syria with the s300 because america warned him how would he dare attack a western country,russia,negatif
putin the biggest taker of lifes in the 21st century the majority being his own russian people,russia,positif
not another final warning little old putin is becoming a joke of a man,russia,negatif
putin is barking like a dog in a trap,russia,negatif
long life vladimir putin,russia,positif
you should understand the simplicity of truth behind thisits not about russia security its about ukraine choice to become a european nation because its on european territory and its geographical location and natural resources that putin afterukraine should become as sovereign nation based on international law and if international community have to step in that they must to prevail further illegal military aggression in the world because of natural resourcesi know those ukraine natural resources will have big impact on european economic developmentdo you than you must act and bring justice to the region restore ukraine sovereignty and create strong economy based on new technology and natural resources of ukraine chop chop no time for bs,"russia, ukraine",positif
warning for ukrainians 5 min,ukraine,negatif
i love the names of russian weaponry haselnut tree,russia,positif
west keeps making russia better and better of developing new missiles,russia,netral
he also stated very clearly that moscow is open to dialogue and diplomacy,russia,positif
russian bots awaken and assemble you sis anyone else well over this sick mans threatsrussia is a terrorist state nothing more nothing less,russia,negatif
russia should be existed as opposition us to keep power balance in the global politics,russia,negatif
putin is a criminal,russia,negatif
every week a new nuclear threat what a psycho spoiled little kid,russia,negatif
putins threads are a fart in the wind he doesnt even afford an hamburger,russia,negatif
the new missles are so fast putin has to warn you in advance before he sends them your way thats how scary it is,russia,negatif
these threats show just how weak russia is two week special operation not so special now,russia,negatif
i wonder why citizens will believe this us useless administration bunch of liars us was never notified of anything until putin spoke all of you including the us were just speculating deceiving your people and concentrate on fighting the drug use that has engulf the country americans will never forgive this biden and tiger face harris for the deceptive governanceeurope you better wake up dont trust these lunatics why did they closed down their embassy in kyiev you think they care be delusional and see,russia,negatif
putin,russia,positif
putin a barbarric bully that will payno perood,russia,negatif
russia has the right to defend itself,russia,positif
zelensky wants to draw nato and us fully into this war and the russia falls into his trap in addition biden wants to preempt any achievement of peace by trump all these factors have contributed to this new cycle of war escalation,"russia, ukraine",positif
the good thing about these missiles is you dont feel the pain moreover ukraine gets them for free,ukraine,positif
putin is playing a dangerous game with every escalation and threat to any nato country dont be fooled by the large russian psychological operation in social media and comments to destroy western support for ukraine either russians go home,"russia, ukraine",positif
putin never threat he precautions and then act and putins answer will be violent and fast be ready,russia,negatif
as obama put it russia has escalatory dominance stop fighting start negotiating the longer the west delays it the more embarassing it will be,russia,negatif
he cant even manufacture enough regular missiles and has to beg from iran and nk so what this is a new missile its not like its the first hypersonic he used in ukraine nothing has change a russia that is flailing at ukraine is in no position to fight with nato one wrong move both he and russia will be history,"russia, ukraine",negatif
russia would not have stationed such weapons in kaliningrad i mean in the very heart of europe since it can hit any part of europe in less than 2 or 3 minutes russia would not do that to friendly european states or maybe,russia,negatif
warning to western allies citizens not ukrainians only,ukraine,negatif
maga cowards chickening out wanting to kowtow before the ruskie tyrant and lick his boots no wonder they voted for that putins puppet that trump,russia,negatif
the world needs to get on with dealing with putin before old bone spurs takes office,russia,netral
good bye russia you wont be missed,russia,positif
russia cant beat the ukraine putin military is in disarray anyone with half a brain would omit defeat but putin believes he can bluff again and nuking the world is a loselose scenario putin needs to see sense and step down,"russia, ukraine",negatif
that advanced weapon originally from us was copied by china and delivered to russia,russia,negatif
putin is insane russians you know what to do,russia,negatif
comparison of Putin to Hitler trying to play the big man now wait for the responsestart digging mf,russia,negatif
thanks to biden and zelensky who puts the whole world at risk,ukraine,positif
i love it when putin talks dirty,russia,positif
it was not the united states or great britain that allowed ukrainians american or british missiles to strike at russian territory it was the united states and great britain that struck their missiles at russian territory ukrainians do not have the necessary competencies for this,"russia, ukraine",negatif
acquised for using ukraine as testing ground what a joke,ukraine,negatif
putin talks like a goldfish,russia,negatif
putin you fire missile at russia russia will nuke ya nato please handle russia and stop crazy putin,russia,negatif
that was a crystal clear message from mr putin,russia,positif
that was a crystal clear message from mr putin,russia,positif
regrettably the clown believes himself to be a powerful king with nuclear capabilities he is deeply distressed due to the dwindling number of his soldiers consequently he sought the assistance of north korea to send troops to russia by ceasing the senseless war and ordering his limited forces to return to russian territory he could potentially end this conflict slava ukraine,"russia, ukraine",negatif
you shouldnt have teased the russian bear,russia,negatif
putin go,russia,positif
this missile is a response to nato strikes on russian territory this time the missile was without live ammunition putin said that he does not want war is ready for negotiations but if opponents want to fight we are ready for war i wonder if opponents are ready for war with russia by the way this weapon has no analogues in the world and is not capable of shooting down any existing air defense,russia,negatif
somebody give putin a pacifier,russia,negatif
well done russia stop the bullying from nato,russia,positif
putin started this war do you just let anyone take over your house no you dont then stop putin from taking over your country,russia,negatif
russia stay in russia,russia,positif
there is no one who didnt see this coming any country with icbms can swap payloads russia keeps saying that none should have the ability to strike russia from a distance near or far yet russia has the ability to strike both near and far putin never sits within arms reach of any subordinates since he knows there are many close to him that would take him out if given the chance hell go when someone eventually gets close how many men and womens blood boils for the loss of their sons,russia,negatif
russia kindly notified the us did us notified nagasaki and hiroshima,russia,netral
the most of western people been always saying they doubt it russian nuclear is even still working,russia,negatif
if you ignore the media bs and look at what he actually said closely he made it clear next time the usbritain authorizes attack on russian federation with its ballistic missiles through ukraine as a proxy the response will be a tactical nuke strike on ukraine since authorizing ukraine to use ballistic missiles against rf endangers its strategic nuclear deterrence if a response on russians assets from the west follows the response will be on western military basesbiden seems hell bent on causing chaos for trump before he takes over the man is clearly incoherent and not all there as evident to everyone so the fact hes doing this is insane,"russia, ukraine",negatif
what a minute putin reacted to western missiles being used in russia and it wasnt pleading for mercy thats surprising,russia,negatif
why oh why are we taking this tiny man seriously russia is a turd on the shoe of western liberal democracies he cant survive without north korea ffs if he risks russia getting into a full blown war with europe his generals will take him to the wood shed europe could speed up that process if they had the balls hes a mafia thug thats it,russia,negatif
nato needs to crush putin and put an end to this nonsense,russia,negatif
we will not be intimidated by putin,russia,positif
i think zelensky is a war criminal who is greedy corrupt who has ambitions to join eu at the cost of destroying whole of ukraine,ukraine,negatif
zelensky should be held accountable for all this mayhem over ukraine just surrender and let people survive,ukraine,negatif
the world needs to make it clear to vladimir putinrussia that his aggression will not and cannot be rewarded,russia,negatif
using an intercontinental missile to hit a target on the same continent is the cunning russian strategy,russia,positif
zelensky asks for longrange weapons russia gives them,"russia, ukraine",negatif
the ultimate blame is on bidin and zelensky,ukraine,negatif
russian president putin says ruling elites rather than government he understand the situationwhat the hell usa doing every wherebiden and his associate fully responsible for this escalation,russia,negatif
vladimir putin in addition to being a genocidal it is the main ecocide of the biodiversity of the taiga the green lung of russia and one of the most important ecosystems on the planet the greatest enemy of world peace and stability the demon that the ignorant russian people have engendered,russia,positif
yeah putin said western weapons could not defend against russias hypersonic missile it turned out that the ukrainians could shoot them down with patriot missiles,"russia, ukraine",positif
run us run but not before telling ukraine to throw biden and starmer shoes at russia,"russia, ukraine",negatif
russians only respect strength negotiation is weakness lack of commitment is weakness and they will exploit that weakness through any means they will lie cheat steal do anything to get on top put russia in its place now or pay the price choice is ours,russia,negatif
ukraine makes no sense to exist it is the dumbest nation on earth why are they still in this war,ukraine,negatif
the eu balkan baltic countries are all at riski dont care here in the us as nothing is going to happen here while biden has sent over 100 billion in aid to corrupt ukraine and we are tired of itthe afore mentioned countries sat back and did littlegood luck you are all at risk while joey biden authorized the use of us long range missleswhich were launched and all shot down wasting us taxpayers again millionsthe pro russia ukraine people brought this upon ukraine even the pro russia ukraine political party had influence thereand the comedian with hands out begging for money the afore mentioned countries and nations figure it out leave the us out of it,"russia, ukraine",negatif
kursk nuclear power plant the next chernobyl go ahead zelensky do not be intimidated by that retrograde genocidal and ecocidal putin the civilized world is with ukraine,"russia, ukraine",positif
russia just socked it to the west,russia,negatif
if russia says for evacuation then there will be catastrophe,russia,negatif
war is not with russiachina is the evil empire,russia,negatif
the first honest thing hes said in years putin clarifies that he is indeed a threat to the west now lets actually do something about him,russia,negatif
such a bad thing to do american equivalent of kids in the backseat of the car but he hit me first or israel but a thousand years ago or any islamic nation but the koran says hey putin whats the right thing to do as winter comes to all,russia,positif
seriously if russia cant take over little itty bitty ukraine in over 2 years they cant do anything to anybody else unless its nuclear,"russia, ukraine",negatif
another bluff from putin,russia,negatif
we love president vladimir putin,russia,positif
zigzagbureauoflni think is better not 2 play with fire putin do not bluffzigg zagwhat u want to say with that z,russia,negatif
putin has consistently stated he will not tollerate us icbmlong range missiles why does the us and nato not care about nuclear war,russia,negatif
nato is the problem not russia,russia,negatif
europe is full of cowards first europe calls for us to let ukraine use long range missiles then it complains about us allowing ukraine to use those long range missiles,ukraine,negatif
who cares about zelensky,ukraine,positif
russia has enough nuclear weapons to hit all countries in nato and the west knows thatas much as russia knows that nato may respond with nukes the west knows that too all these experts who believe that putin is still sitting in the kremlin and waiting on the us they are delusionalrussia will endorce their own security guarantees and will not be dictated to,russia,positif
the usa gave the green light to ukraine to launch an atacms missile attack on russia then russia responded by launching oreshnik semi ballistic missiles on ukraine and the usa responded by saying we do not want a war with russia what kind of joke is this,"russia, ukraine",negatif
viva russia the world innovator always admirable at all levelsscience civilization ethics power the world is with youpeople are with you,russia,positif
russia is the new boss,russia,positif
russia isnt libya,russia,negatif
ukraine gets 100 of billions in weapons and western military aids and supportsrussia got the most sanctions that never been happened to any countrystill russia taken over 20 of ukraine just keep blaffing till china take over taiwan,"russia, ukraine",positif
when iran said that they will strike israel using powerful weapon i think they are going to unleash the same weapon that used by russia iran said that they are going to strike all israel army facilities and isreal will suffer before russia icbm in ukraine i couldnt imagine how iran going to fight israel but now either iran get it from russia or russia get it from iran,"russia, ukraine",negatif
what are the military targets that the new russian ballistic missile destroyed western media is not talking about this,russia,negatif
ukraine is not part of the american alliance called nato,ukraine,negatif
wao i cannot even imagine that american will be this stupid not even one other propaganda channels are asking the right question like why americans dont back down its the same thing that happened during cuban missile crisis america went belistic then why do they think it will not happen in case of ukraine,ukraine,negatif
hilarious great military power russia just throws out reminders constantly and oreshniks just another in many more to come which arent oreshnik btw,russia,positif
ukraine has lost already just recognize reality,ukraine,negatif
silly to talk about nukes only the us ever used nukes against another nation the russians will just blow up uks storm shadow missile factories using the new missiles using conventional warheads in it comes to push and shove,russia,negatif
russians should know that war crimes do not have a statute of limitations they should be aware that justice will one day come to their aid with putin at the forefront the security service of ukraine sbu eliminated another war criminal valery trankovsky 41st missile brigade was a russian naval officer responsible for attacks on civilians the direct cause of death was loss of blood as a result of the wounds received as a result of the explosion the sailor lost both legs and was sitting behind the wheel when the car exploded rescuers from the russian ministry of emergency situations arrived with help just 6 minutes after the explosion although the victim was rescued from the wreck the officer died in the ambulance on the way to the hospital the attack took place in the center of sevastopol trankowski was under surveillance for about a week and an improvised explosive device ied was placed under the drivers seat of his car and detonated remotely trankowski previously served as chief of staff of the small missile ship squadron whose ships carried out missile attacks using he ordered the launch of cruise missiles from the black sea against civilian targets in ukraine he was responsible among other things for the attacks on the city of vinnytsia in july 2022 in which 29 people were killed and over 200 were injured he also oversaw attacks on odessa and other cities that killed civilians at the beginning of october we reported the death of a 44yearold officer nikita klenkow deputy commander of a military unit a gru officer who was shot in his car by an unknown perpetrator a few days later information appeared about dmitry golenkov a pilot of the 52nd heavy bomber regiment of the russian aerospace forces who was beaten to death with a blunt instrument the assassination of vladimir putin is only a matter of time you shouldnt think that 20 years after the war we will become friends war is a competitionthis will be a major destruction for many many decades the kremlin only harms you a067,"russia, ukraine",positif
nato needs to stop dithering and send troops push putin back to the border,russia,negatif
so u think europeans and americans will risk their cities to defend ukraine thats a lie,ukraine,negatif
arabs are using putin to destroy putin and russia together,russia,negatif
i beg on my knees all racists and fascists worldwide to stop lyingyou cant call russian missile range 5800km medium range and then talk about 250300km range storm shadow and atacms as long range and suggesting such very short range missiles would be escalatory the only escalation is only and always done by the sinorussian alliance id call the first missile actively being deployed like the v2 a very short range missile and that one had 320km so storm shadow and atacms are very short rangeso please stick to facts and drop your racist and fascists claims like nato is escalating with long range weaponsrussia is deploying medium range weapons up to 5800kmwere not sending ukrainian soldiers with a knife to a gunfight were sending them with a teaspoon to a gunfight so stop tour lies and scam please,"russia, ukraine",negatif
my gosh the russian missile has really frightened the pants off the west,russia,positif
putin was opening portals in ukraine lol,"russia, ukraine",positif
why would russia choose ukraine to nuke when he is aware the actual threat is direct from us uk if required russia will use nuke in uk first,"russia, ukraine",negatif
nato said putin was sabre rattling oreshnik was like a thunderbolt from hell,russia,negatif
why are the media focusing and always saying that this missile can carry nukes well the truth is russia has been using weapons that can carry a nuclear warhead for over 1 year why mention this so much for this weapon yes its a different missile then used before and yes just like for the last year this could carry a nuke too the focus should be on this one can attack 5 to 6 targets at one time although it didnt do a good job of that nor inflict a lot of damage for what was used,russia,negatif
there is no ukraine territory they lost it,ukraine,netral
russia get out of ukraine and focus on rebuilding your economy,"russia, ukraine",positif
when trump gets into the wh zelenskyy will run for his life with the billions he had stolen,ukraine,negatif
if russia uses nukes on ukraine nato will use nukes on russia bold assumption there,"russia, ukraine",negatif
russia is not vietnam or somalia the quickest you understand better you are nato warmongers,russia,negatif
currently bible prophecy is being fulfilled the bible is a book of prophecy approximately 30 of the bible is about prophecythe earth is going to go through a time of tribulationthe great tribulation will be a time of distress that human kind has never experience beforeearth will soon enter into this time of tribulation and bible prophecy wil be fulfilledtrue christians saved from sin by jesus will be rapturedlifted to heavenby jesusbut merely nominal christians those who are christians in name only will remain on the earth the second prophecy tells that israel will be attacked like never before as far as what happens firstthe order of prophecies 123 might change1 all christians in the world will disappear at onceyou might get an image of that if you watched the movieleftbehind but i think the rapture will be incomparable to the moviethe movie cannot be compared with reality when the rapture occurs2 damascus the capital of syriawill be destroyed3 the countries of russiairan and turkey will attack israelgod will miraculously give israel the victory in this battlethe rise of the anti christ will occur when he is welcomed as the new world leaderhe will confirm a peace treaty with israel for seven yearsthis will begin the great tribulation which will last for seven yearsthe antichrist will lie to the world about why christiansdisappear for examplethe antichrist might lie and say that extraterrestrials snatched people who dont believein aliens from outer spaceduring the great tribulation there will be famines deseaseepidemics and pandemics and many kind of natural disasters during this era of time in human history hardships will happen like never beforeexperienced by human beingsthe antichrist will cause the jews to rebuild the templein jerusalemthis has been difficult to achievethe antichrist will also cause the jews to restore the ritual sacrifices in the templethe false prophet maybe a roman catholic pope will create and lead a one world religion after three and a half yearsthe antichrist declare he is god and make people worship himthe antichrist will also break the peace treaty with israelafter three and a half yearsthe antichrist will coerce all people to take a mark of 666 in their right hand or foreheadthis mark might be a bar code or microchip the bible says that those people who refuse to take the mark will not be able to buy or sell and will be beheadedthe people left behind who are repentant christians will reject the antichrist and his mark so will be killedthe people who followed the antichrist and took the mark of the beast will cast into the everlasting fire becauseof gods forewarned judgmentthose people who didnt follow the antichrist and who refused to take the mark of the beast will go to be with god in heaven at lastthe bible says that we shouldnever take that markjesus christs second coming will be at the mount of olives at the end of the seven years of the great tribulation then christ will begin 1000 years of his earthly kingdombible prophecy has been fulfilled in the past but there is also still more that the bible says about prophecy that will be fulfilled in the futurenow currently today is the time to accept gods saying grace before the beginningof the great tribulationthose people who believe thatjesus christ died on the cross for their sins they will go to heaven to be with him believing this is the priority above everything elsei hope that many people will choose this before its too late,russia,positif
open the door to other nuclear nations against russiaas if russia will stop there it will be mad,russia,netral
if russians detect a launch of a nukelear armed missile say from france the france as we know it ceases to exist with about 30 minutes this is true for any county in europe set n americas aside does anyone want to gamble with their mere existence looks like european so called leaders do i would not test the intention of putin to prevent the natos threat even if he seems indecisive quite often keep in mind that putin does not make the decision to launch singlehandedly its a group of people some of whom are very hawkish towards the west thus the talk about what putin may or may not do based on some expert opinion is meaningless and simply waste of time for no one has a clue one thing however is certain prepare for the worst,russia,negatif
vladimir putin,russia,positif
new us sanctions on moscow may shut down the only way european customers can pay for russian gas increase volatility on russias fx market and push moscow closer to beijings orbit russian economists said on fridaywashington imposed new sanctions on russias gazprombank on thursday that prevent the statecontrolled lender from handling any new energyrelated transactions that touch the us financial sector,russia,negatif
dangerous useless expensive nato military expanding for giant weapon companies richer by all taxpayers money from 13 to 31 states to russian doorstephomeland how come the peace come from we the people need live peaceful life,russia,positif
who the hell care if ukraine loses is it worth risking a nuclear war over ukraine,ukraine,negatif
well bonespurstrump will simply hand ukraine over to poisonerputin on day one that was trumps solution all along trump might even help putin with some us military strategic forces andor weapons trump is part of the unhingedright true psychopaths like the project 2025 nuts of course musk is begin rewarded for keeping trump out of prison thanks to musks connections to highlyskilled hackerengineers and trumpworshiping election officials they had fixed the election long before anyone actually voted which explains trumps intoxication with his own sloppy slanderous campaign speeches,"russia, ukraine",negatif
joke ukraine is nonnuclear power if russia used nukes in ukraine no other nuclear powers are going to used nukes against russia nuclear war will trigger only nuke power attacking nukes power russia is on the top of the escalation ladder in this case us knows very well that,"russia, ukraine",negatif
did he just say that if russia use nukes in ukraine nayo nations will use nukes on russia,"russia, ukraine",negatif
west and nato supposed to facilitate peace deal but instead they are historically known to escalate everywhere their feet touch nothing good come out them they spend more time delivering weapons and framing war strategies rather than peace any thinking mind can compare how much time has been spent on peace vs delivering weapons since the start of conflict between russia and ukraine,"russia, ukraine",positif
ukraine was the one escalating lol,ukraine,negatif
vladimir putin will never feel safe for rest of his life,russia,negatif
russia saying bye bye to dollar,russia,positif
lol he speaks like russian dont have allies china north korea iran nukes vs usa ad nato we all die stupid,russia,negatif
i cant believe russia fired their new missile ukraine is the worlds largest military test site to test western weapons in combat we were hoping russia would test theirs so we could see what they had now we know and now the allies will buy new weapons from the west after seeing russias capabilities you got to watch out for those democrats theyre kind of sneaky they dont care about anybody they use everybody,"russia, ukraine",negatif
russia is the most powerful country in the world the third world that is,russia,positif
russia attacks ukraine with long range ballistic missiles killing 12000 civilians so the biden trump meeting have authorized ukraine to use the short range atacams to target russian military assets there is no escalation just a clear message the kremlin has to withdraw the smo by january for peace so trump can cut russia a deal on sanctions putin escalating with irbm not yet in production conditions no deal trump will deliver tomahawk ultra long range missiles,"russia, ukraine",positif
russia will do what it takes to defend its homeland including nukes if it feels it as to like any other nation dont be fooled than why are they calling an emergence meeting,russia,netral
no atacms or storm shadow now for two daysnato needs an emergency talk with ukraine to tell napolensky you are fucced we cant go further,ukraine,negatif
the problem is can russia also intercept hypersonic missiles coming nato and alliesthe facts the effects of storm shadows and atacsm are damaging that is why putin forced to use weapon that is not in production stage a hypersonic missiles are mach 5 to 25 speed whether it is iran israel china us and russia are hard to intercept,russia,negatif
theres nothing to fear but fear itself russia has the ability to nuke us and has been threatening to do so all the time the new missile adds nothing to that we must not forget only reason ukraine is a nonnuclear state is because us uk and russia promised ukraines sovereignty and security in the budapest memorandum if we do not uphold our end of the bargain no nuclear state think nk iran would ever give up their nukes like ukraine did and should we renege on our obligation to ukraine then we have a duty to return ukraine the nukes it gave up now of course those nukes were long dismantled meaning to restore ukraine to its state before the budapest memorandum we will need to furnish ukraine with nukes in similar quantities with equal or better capabilities than the ones ukraine gave up this is the minimal condition we have to satisfy should we walk away from ukraine,"russia, ukraine",negatif
the global south the whole world excluding europe and us know russia will win this war since the beginning and us is now a sinking ship boarder problem soaring inflation homelessness gun violence world expensive medical services etcsanction on russia is not working because russia is not isolated putin war in ukraine continue russian economy is saved by chinese market african nations increases support for putin russia developed mechanism for sanction deviation support by iraq north korea venuzula and cuba republican kongo etc dedollarazation of us dollars is accelerated globallyrussia stand as a symbol of strength one nation that can face the entire west nato russia and china bring economic development western countries eu bring neocolonization while us under the umbrella of nato bring war and destruction,"russia, ukraine",positif
if he uses nuclear weapon in ukraine russia might lose support of its friends but no nuclear country i repeat not a single one will fire a nuclear warhead back at russia no one will sacrifice their countrys survival for another country,"russia, ukraine",positif
victory to the russian federation to president vladimir putin and to the brilliant engineering of the hypersonic oreshnik missile system,russia,positif
pls talk to russia talking among you nato guys is like masterbating n expecting something worth be produced,russia,negatif
china is telling russia to nuke las vegas and hollywood nato trump will be crying usa do have a lot of hollywood actors in their government now,russia,negatif
i just have one question what other response did you expect from russia,russia,negatif
starting to wake up to reality how comes russia has only shovels remember,russia,negatif
eunato seem not to be getting the messagewarningrussia has got big weapons,russia,negatif
god bless ukraine,ukraine,positif
putin will swallow its like champ,russia,negatif
this western analysts are funny so western countries will respond with a nuclear weapons if russia use one in ukraine russia has 6000 nuclear weapons,"russia, ukraine",positif
one minute nato dismisses russia as a jokenext minute nato holds crisis talkswhat a joke,russia,negatif
stupidity from nato nato has been pushing russia way before the ukraine war by putting weapons around its border,"russia, ukraine",negatif
nuclear weapons are outdated im surprised that the military doesnt just admit that clean wmd like electropulse are already in use by russia china korea iran nuclear weapons are clunky messy in comparison,russia,negatif
mother russia is ending western hegemony period,russia,netral
i hope ukraine can turn things around,ukraine,positif
putin aint no pusssy better settle up so man kind can continue,russia,negatif
what nations would use nuke against russia if russia will use against ukraine expert was silence about but it is very interesting who takes chance to get back,"russia, ukraine",positif
no attacks from storm shadow or atacms since russia dropped that mirv on ukraine coincidence,"russia, ukraine",negatif
nato is losing power on the world stage and wants war with russia as soon as possible while they still are strong,russia,positif
putin is really saying you want the smoke last chance,russia,negatif
so it wasnt uk that sent storm shadow and us green lit the atacms clown the thing is putin doesnt want a peace solution either theres blood in the water and russia china north korea and turkey are a in it together waiting for the hammer to drop of course israel whose actually the only one fighting terror is the one being blamed for a war i wonder if the bbc will ever report how many missiles are being shot into israel daily its staggering a whole nation of people being gas lit and what from the media nothing like its not happening there is good news jesus christ died was buried and ascended into heaven believe in him pray to him and ask him for help he will save you he will redeem your life by the covenant god made taking mans place on the cross you only have tk look at the world today to see how broken we are and the systems weve created weve rejected god and this is the result destruction chaos greed death emptiness and lonelinessjesus died for you so you can be set free believe in him he died for you he will heal you he will be your comfort your friend,russia,positif
idiot think if russia use nuke in ukraine other nuclear nation will use nuke on russia get off your fantasy world the moment it is seen flyimg toward russia your whole country is vaporised europe has absolutely nothing to hit russia with high time you get of you fantasy world and lala land americans will abandon you,"russia, ukraine",negatif
call putins bluff,russia,negatif
you think putin has 5000 nuclear bombs he probably has 500000 by now,russia,negatif
nato already lost the war in ukraine,ukraine,negatif
joe biden is ready to take on russia and only has 2 months left to beat putin,russia,positif
these false assurances the west are saying of going nuclear on russia if it strikes ukraine with an atomic weapon is the reason why the little green man does not want to negotiate for peace,"russia, ukraine",positif
send wef puppet macron to fight on the russian front a pathetic little bankster servant,russia,negatif
ukraine and allies thought they cornered russia but they are themselves cornered,"russia, ukraine",negatif
russia warned nato about expanding east and russia warned ukraine about joining nato russia warned nato about longrange missiles,"russia, ukraine",negatif
leave putin alone,russia,negatif
american elected trump with a clear mission of stopping the war not funding it war mongers just want to blackmail trump into war he promised to stop if ukraine fails it will be due to the fact that zalensky was not serious about winning the war otherwise they wouldnt have corruptly looted the money given to them by the biden administration because he believes the us has big money to be looted while prolonging the war which continues to sink us tax payers debt trump was elected to make america great not to feed a military industrial complex while burdening tax payers,ukraine,negatif
nato is fueling ukrain war why zelinsky used the ballistic missile first and now russia will respond so why hue and cry should have thought before,russia,negatif
in authoritarian countries like russia and china comments that criticize or insult their own government or allies are immediately deleted or banned citizens have no freedom to criticize their government in fact there is no criticism of the putin regime in the russian media at present this is because individuals and media personnel are investigated and arrested and imprisoned as foreign agents if the world becomes a country that punishes the freedom of speech of its citizens like russia and china we who post online now will also be punished and imprisoned those who have been brainwashed by some ideological injection and simply support russia like children and criticize western european countries must understand this fact and regain their sanity it will be too late after the world is covered by despotism,russia,positif
why on earth is everyone thinking russia wont pop a tactical nuke if they push them too hard if they use a tactical nuke in kursk which is their own territory occupied by ukraine what can the west do freaking nothing if they dont want wwiii,"russia, ukraine",negatif
russia is bluffing the sharpest president in history of usa knows the best they did bluff they will attack ukraine in 2022 and they are bluffing now too d,"russia, ukraine",negatif
the question is will ukraine and nato retalliate,ukraine,negatif
stop provoking russia,russia,negatif
who would go into nuclear war with russia for ukraine i dont think any country would do that,"russia, ukraine",negatif
please ukraine should not fire any missile again russia not playing,"russia, ukraine",negatif
odessa on their list odessa is russia russian lives in odessa should be election in ukraine and putin too on tge ballot see what happens,"russia, ukraine",negatif
is putin still bluffing obviously the entire nato is a piece of dead meat without the us,russia,negatif
problem with west for 3 years they always put words on putin,russia,positif
this is the best you can do ridiculous why would russia use nukes when they are winning even if the russians did nuke ukraine no country would nuke russia in response this guy is just not a serious analyst,"russia, ukraine",negatif
the firing of atcms and shadow misslies shows that ukraine does not want to ukraine does not want to negotiate negotiations meam the dollar tap will closeand zelensky is out of officehe cant let that happen,ukraine,negatif
sir ukraine already lost the warits just settlement remaining,ukraine,negatif
early happy 73th birthday to president vladimir putin,russia,positif
nato is a chicken they rather let ukraine lose than put boots into ukraine,ukraine,negatif
hahahahalet me tell you somethingif putin usese nuclear weapon on ukrainenothing will happena question to youis ukraine the united states of america or is it part of americawhen america hit the two cities of japan when the world war 2 was already overwho went after the usa,"russia, ukraine",negatif
i dont think russia developed nuclear power to take a selfie with it hell use it when hes country is in danger no country will bend down while having these kind of weapons in its arsenal please stop the nonsense and save humanity once its late its too late,russia,netral
did ukrainians use storm shadow or atacms since thennowhy not,ukraine,negatif
us has won strategically with russia its letting it selfconsume,russia,positif
if putin uses nukes what makes everybody think hes only going to target ukraine hed target all his enemies at once,"russia, ukraine",negatif
this comedian call zelensky will bring another european war,ukraine,negatif
let the us and great britain return to ukraine the nuclear statues which ukraine had it before 1995 and all russias threatens to the west will stop this is no need to give nuclear weapons to ukraine just this status only,"russia, ukraine",negatif
if the usa doesnt back ukraine they will lose a ally when usa has to confront china,ukraine,negatif
cowards on coments europe can defend itself at all means so dont fear be like ukrainians at the beggining war,ukraine,negatif
nato and the us are nuts they are playing with fire and they just got burned a little russia is up on stage and they are number 1 nato lost,russia,negatif
this expert is stupid to say such a thing the signal was for britain and the usa any of their bases will be destroyed and they wont be able to do anything about it and ukraine has already lost this conflict ukraine is bankrupt,ukraine,negatif
ukraine has right to protect itself,ukraine,positif
with 30 minutes warning from russia still the patriots missiles in ukraine didnt even detect the incoming oreshnik missile much less shoot it downassessing natos panic and emergency meetings taking place clearly oreshnik is a game changerzelnesky a talking parrot please be aware even china doesnt have the oreshnik technology so there is no point of blaming chinajust like donald trump said you are the greatest sales man who would do whatever it takes to get more money but the jig is up boy,"russia, ukraine",positif
everything russia does is an emergency for nato,russia,negatif
us and uk have given ukraine right to fire long range missiles to russia ukraine and it supporters are happy putin said red line the west said putin is bluffing now putin answered with one missile the west again said putin is escalating,"russia, ukraine",positif
60 of the people in the west support putin,russia,positif
as oppenheimer whould say to russia putin you foolish people who think you are gods to use the word and take advantage of the atomic bomb while invade other free lands on earth people like this are not worthy,russia,negatif
