comment,comment_target
well bonespurstrump will simply hand ukraine over to poisonerputin on day one that was trumps solution all along trump might even help putin with some us military strategic forces andor weapons trump is part of the unhingedright true psychopaths like the project 2025 nuts of course musk is begin rewarded for keeping trump out of prison thanks to musks connections to highlyskilled hackerengineers and trumpworshiping election officials they had fixed the election long before anyone actually voted which explains trumps intoxication with his own sloppy slanderous campaign speeches,"russia, ukraine"
joke ukraine is nonnuclear power if russia used nukes in ukraine no other nuclear powers are going to used nukes against russia nuclear war will trigger only nuke power attacking nukes power russia is on the top of the escalation ladder in this case us knows very well that,"russia, ukraine"
did he just say that if russia use nukes in ukraine nayo nations will use nukes on russia,"russia, ukraine"
even macron doesnt neuclear war he should now do mediate,unknown
west and nato supposed to facilitate peace deal but instead they are historically known to escalate everywhere their feet touch nothing good come out them they spend more time delivering weapons and framing war strategies rather than peace any thinking mind can compare how much time has been spent on peace vs delivering weapons since the start of conflict between russia and ukraine,"russia, ukraine"
war will end soon,unknown
ukraine was the one escalating lol,ukraine
vladimir putin will never feel safe for rest of his life,russia
russia saying bye bye to dollar,russia
bitcoin for the win,unknown
this cia funded news channel should use better participants,unknown
lol he speaks like russian dont have allies china north korea iran nukes vs usa ad nato we all die stupid,russia
oreshnik boooooom patriot defense system 1 what the fk was thatpatriot defense system 2 oh shit i really dont know,unknown
i cant believe russia fired their new missile ukraine is the worlds largest military test site to test western weapons in combat we were hoping russia would test theirs so we could see what they had now we know and now the allies will buy new weapons from the west after seeing russias capabilities you got to watch out for those democrats theyre kind of sneaky they dont care about anybody they use everybody,"russia, ukraine"
zaleski said couple of days ago missiles will speak for themselves what goes around comes around lol,unknown
i guess the budget of france24 is running low if they had to dig up this old fossil,unknown
they have to test oreshnik in selenskis bunker maybe then hell come to his senses,unknown
bs,unknown
why meet scared z started it with us and brit weapon je will hit only,unknown
russia is the most powerful country in the world the third world that is,russia
russia attacks ukraine with long range ballistic missiles killing 12000 civilians so the biden trump meeting have authorized ukraine to use the short range atacams to target russian military assets there is no escalation just a clear message the kremlin has to withdraw the smo by january for peace so trump can cut russia a deal on sanctions putin escalating with irbm not yet in production conditions no deal trump will deliver tomahawk ultra long range missiles,"russia, ukraine"
russia will do what it takes to defend its homeland including nukes if it feels it as to like any other nation dont be fooled than why are they calling an emergence meeting,russia
no atacms or storm shadow now for two daysnato needs an emergency talk with ukraine to tell napolensky you are fucced we cant go further,ukraine
the problem is can russia also intercept hypersonic missiles coming nato and alliesthe facts the effects of storm shadows and atacsm are damaging that is why putin forced to use weapon that is not in production stage a hypersonic missiles are mach 5 to 25 speed whether it is iran israel china us and russia are hard to intercept,russia
tell us about the nato summit nd stop you baby talking,unknown
theres nothing to fear but fear itself russia has the ability to nuke us and has been threatening to do so all the time the new missile adds nothing to that we must not forget only reason ukraine is a nonnuclear state is because us uk and russia promised ukraines sovereignty and security in the budapest memorandum if we do not uphold our end of the bargain no nuclear state think nk iran would ever give up their nukes like ukraine did and should we renege on our obligation to ukraine then we have a duty to return ukraine the nukes it gave up now of course those nukes were long dismantled meaning to restore ukraine to its state before the budapest memorandum we will need to furnish ukraine with nukes in similar quantities with equal or better capabilities than the ones ukraine gave up this is the minimal condition we have to satisfy should we walk away from ukraine,"russia, ukraine"
the global south the whole world excluding europe and us know russia will win this war since the beginning and us is now a sinking ship boarder problem soaring inflation homelessness gun violence world expensive medical services etcsanction on russia is not working because russia is not isolated putin war in ukraine continue russian economy is saved by chinese market african nations increases support for putin russia developed mechanism for sanction deviation support by iraq north korea venuzula and cuba republican kongo etc dedollarazation of us dollars is accelerated globallyrussia stand as a symbol of strength one nation that can face the entire west nato russia and china bring economic development western countries eu bring neocolonization while us under the umbrella of nato bring war and destruction,"russia, ukraine"
if he uses nuclear weapon in ukraine russia might lose support of its friends but no nuclear country i repeat not a single one will fire a nuclear warhead back at russia no one will sacrifice their countrys survival for another country,"russia, ukraine"
the comedian clown and his western puppeteers refrain from abusing vlads celestial patience the best way to avoid decreasing life expectancy,unknown
victory to the russian federation to president vladimir putin and to the brilliant engineering of the hypersonic oreshnik missile system,russia
pls talk to russia talking among you nato guys is like masterbating n expecting something worth be produced,russia
china is telling russia to nuke las vegas and hollywood nato trump will be crying usa do have a lot of hollywood actors in their government now,russia
i just have one question what other response did you expect from russia,russia
starting to wake up to reality how comes russia has only shovels remember,russia
im already lost the war what kind of lies on your lips,unknown
eunato seem not to be getting the messagewarningrussia has got big weapons,russia
god bless ukraine,ukraine
scared peeing in your pants now natoeu farce exposed,unknown
it started with a president having an alzheimer,unknown
putin will swallow its like champ,russia
this western analysts are funny so western countries will respond with a nuclear weapons if russia use one in ukraine russia has 6000 nuclear weapons,"russia, ukraine"
one minute nato dismisses russia as a jokenext minute nato holds crisis talkswhat a joke,russia
psychopathic warmongers determined to start ww3,unknown
why was harris and biden allowed to do this,unknown
nonsense talk,unknown
stupidity from nato nato has been pushing russia way before the ukraine war by putting weapons around its border,"russia, ukraine"
western analyst is a clown,unknown
its not the end times yet this year especially 2025,unknown
its not the end times yet this year especially 2025,unknown
guy is retard and she is crosseyed why should anyone listen to these jokes,unknown
nuclear weapons are outdated im surprised that the military doesnt just admit that clean wmd like electropulse are already in use by russia china korea iran nuclear weapons are clunky messy in comparison,russia
trump needs to get usa out of nato it does not benefit us at all and they are trying to start ww3,unknown
mother russia is ending western hegemony period,russia
missiles speak for themselves famous last words,unknown
they saying dont do it dont do it dont do do do it,unknown
by the end of trumps presidency people are going to realize he was one of the best presidents america has ever seen after this mess,unknown
as sook as trump gets in there all those kids will quiet down what do you think,unknown
i hope ukraine can turn things around,ukraine
putin aint no pusssy better settle up so man kind can continue,russia
what nations would use nuke against russia if russia will use against ukraine expert was silence about but it is very interesting who takes chance to get back,"russia, ukraine"
so the us was prenotified about oreshniks launch and did nothing about it,unknown
the guy is a joke,unknown
no attacks from storm shadow or atacms since russia dropped that mirv on ukraine coincidence,"russia, ukraine"
nato is losing power on the world stage and wants war with russia as soon as possible while they still are strong,russia
let missiles talk to each other,unknown
putin is really saying you want the smoke last chance,russia
so it wasnt uk that sent storm shadow and us green lit the atacms clown the thing is putin doesnt want a peace solution either theres blood in the water and russia china north korea and turkey are a in it together waiting for the hammer to drop of course israel whose actually the only one fighting terror is the one being blamed for a war i wonder if the bbc will ever report how many missiles are being shot into israel daily its staggering a whole nation of people being gas lit and what from the media nothing like its not happening there is good news jesus christ died was buried and ascended into heaven believe in him pray to him and ask him for help he will save you he will redeem your life by the covenant god made taking mans place on the cross you only have tk look at the world today to see how broken we are and the systems weve created weve rejected god and this is the result destruction chaos greed death emptiness and lonelinessjesus died for you so you can be set free believe in him he died for you he will heal you he will be your comfort your friend,russia
idiot think if russia use nuke in ukraine other nuclear nation will use nuke on russia get off your fantasy world the moment it is seen flyimg toward russia your whole country is vaporised europe has absolutely nothing to hit russia with high time you get of you fantasy world and lala land americans will abandon you,"russia, ukraine"
call putins bluff,russia
us taxpayers will no longer pay for this war we never wanted to begin with biden is not even our legitimate president good luck,unknown
if he starts using nuclear weapons how lightly he takes this potential event if there is a nuclear war it means the end of all life on earth all world leaders should be in full panic mode and trying to calm the situation,unknown
you think putin has 5000 nuclear bombs he probably has 500000 by now,russia
ru got more than enough long range weapons to pay back the west with interest for every act of aggression against them,unknown
don t trust no human especially politicians trust god only,unknown
what is a delusional,unknown
nato already lost the war in ukraine,ukraine
joe biden is ready to take on russia and only has 2 months left to beat putin,russia
these false assurances the west are saying of going nuclear on russia if it strikes ukraine with an atomic weapon is the reason why the little green man does not want to negotiate for peace,"russia, ukraine"
interesting that living room couch warriors believe they have better instincts on this conflict than the cia shadow gov,unknown
send wef puppet macron to fight on the russian front a pathetic little bankster servant,russia
please forgive them they do not know what they are doing,unknown
ukraine and allies thought they cornered russia but they are themselves cornered,"russia, ukraine"
usa embassy closed europeans do you have sense,unknown
intimidationkkkk bunch of lies,unknown
i blame biden voters 100,unknown
russia warned nato about expanding east and russia warned ukraine about joining nato russia warned nato about longrange missiles,"russia, ukraine"
i cry every day,unknown
leave putin alone,russia
american elected trump with a clear mission of stopping the war not funding it war mongers just want to blackmail trump into war he promised to stop if ukraine fails it will be due to the fact that zalensky was not serious about winning the war otherwise they wouldnt have corruptly looted the money given to them by the biden administration because he believes the us has big money to be looted while prolonging the war which continues to sink us tax payers debt trump was elected to make america great not to feed a military industrial complex while burdening tax payers,ukraine
nato is fueling ukrain war why zelinsky used the ballistic missile first and now russia will respond so why hue and cry should have thought before,russia
you better listen to the words of wisdom from mr oreshnik he inspires greatly,unknown
americans dont want this war,unknown
this is not intimidating but real people are dying,unknown
misleading biden cannot make that decision due to cognitive impairment the decisions were made by blinken sullivan and lloyd austin,unknown
in authoritarian countries like russia and china comments that criticize or insult their own government or allies are immediately deleted or banned citizens have no freedom to criticize their government in fact there is no criticism of the putin regime in the russian media at present this is because individuals and media personnel are investigated and arrested and imprisoned as foreign agents if the world becomes a country that punishes the freedom of speech of its citizens like russia and china we who post online now will also be punished and imprisoned those who have been brainwashed by some ideological injection and simply support russia like children and criticize western european countries must understand this fact and regain their sanity it will be too late after the world is covered by despotism,russia
why on earth is everyone thinking russia wont pop a tactical nuke if they push them too hard if they use a tactical nuke in kursk which is their own territory occupied by ukraine what can the west do freaking nothing if they dont want wwiii,"russia, ukraine"
russia is bluffing the sharpest president in history of usa knows the best they did bluff they will attack ukraine in 2022 and they are bluffing now too d,"russia, ukraine"
give a big applause for joe biden maybe he doesnt know who he is he knows whats the best,unknown
the question is will ukraine and nato retalliate,ukraine
stop provoking russia,russia
who would go into nuclear war with russia for ukraine i dont think any country would do that,"russia, ukraine"
even if you think it is all bluff why push us to the edge and even take the risk the world is in a more dangerous place than it has ever been,unknown
please ukraine should not fire any missile again russia not playing,"russia, ukraine"
its an old rs 26 with mirvs france has them uk has the us has them lol this is going to happen and if you dont have guns ammo food water and gold well you are sheep,unknown
you are always able to find mr no one to come and speak nonsense whats the purpose of this,unknown
odessa on their list odessa is russia russian lives in odessa should be election in ukraine and putin too on tge ballot see what happens,"russia, ukraine"
is putin still bluffing obviously the entire nato is a piece of dead meat without the us,russia
from javelins switchblades to leopard tanks and f16s the west expended about 30 gamd changers that all became scraps,unknown
problem with west for 3 years they always put words on putin,russia
this is the best you can do ridiculous why would russia use nukes when they are winning even if the russians did nuke ukraine no country would nuke russia in response this guy is just not a serious analyst,"russia, ukraine"
the firing of atcms and shadow misslies shows that ukraine does not want to ukraine does not want to negotiate negotiations meam the dollar tap will closeand zelensky is out of officehe cant let that happen,ukraine
sir ukraine already lost the warits just settlement remaining,ukraine
early happy 73th birthday to president vladimir putin,russia
nato is a chicken they rather let ukraine lose than put boots into ukraine,ukraine
hahahahalet me tell you somethingif putin usese nuclear weapon on ukrainenothing will happena question to youis ukraine the united states of america or is it part of americawhen america hit the two cities of japan when the world war 2 was already overwho went after the usa,"russia, ukraine"
i dont think russia developed nuclear power to take a selfie with it hell use it when hes country is in danger no country will bend down while having these kind of weapons in its arsenal please stop the nonsense and save humanity once its late its too late,russia
did ukrainians use storm shadow or atacms since thennowhy not,ukraine
us has won strategically with russia its letting it selfconsume,russia
if putin uses nukes what makes everybody think hes only going to target ukraine hed target all his enemies at once,"russia, ukraine"
this comedian call zelensky will bring another european war,ukraine
nato loves talking nato no action talk only,unknown
this guest not serious,unknown
dont believe a thing trump says hew will propose to both sides and both will reject trump will blame one or both,unknown
whos fault bidens last announcement,unknown
keep playing with fire,unknown
let the us and great britain return to ukraine the nuclear statues which ukraine had it before 1995 and all russias threatens to the west will stop this is no need to give nuclear weapons to ukraine just this status only,"russia, ukraine"
calling a meeting an emergency but having to schedule it is crazy lmao it aint an emergency if its schedule ahead of time,unknown
the amount of stupidity that surrounds anglophone countries is astounding these people just never fail to mention that they are superior to all,unknown
if the usa doesnt back ukraine they will lose a ally when usa has to confront china,ukraine
trump can say what hhe likes and euurope can simply ignore him he will break america the decline has already started,unknown
the nonchalant discourse around the use nuclear weapons of late seems so out of placesurreal,unknown
you said he was bluffing now u having meetings,unknown
cowards on coments europe can defend itself at all means so dont fear be like ukrainians at the beggining war,ukraine
nato and the us are nuts they are playing with fire and they just got burned a little russia is up on stage and they are number 1 nato lost,russia
this expert is stupid to say such a thing the signal was for britain and the usa any of their bases will be destroyed and they wont be able to do anything about it and ukraine has already lost this conflict ukraine is bankrupt,ukraine
we want peace,unknown
american poked the bear handed the stick to clownsky before running away,unknown
ukraine has right to protect itself,ukraine
with 30 minutes warning from russia still the patriots missiles in ukraine didnt even detect the incoming oreshnik missile much less shoot it downassessing natos panic and emergency meetings taking place clearly oreshnik is a game changerzelnesky a talking parrot please be aware even china doesnt have the oreshnik technology so there is no point of blaming chinajust like donald trump said you are the greatest sales man who would do whatever it takes to get more money but the jig is up boy,"russia, ukraine"
a demo of missiles going to mid east to test on aircraft carriers,unknown
everything russia does is an emergency for nato,russia
us and uk have given ukraine right to fire long range missiles to russia ukraine and it supporters are happy putin said red line the west said putin is bluffing now putin answered with one missile the west again said putin is escalating,"russia, ukraine"
mark tutte fruttes all rutte will be hiding in the basement,unknown
60 of the people in the west support putin,russia
stop plays with people life criminals tchuipss,unknown
gods this is amazing after all these missiles were destroyed in the ussr and in the west during the cold war because they are too dangerous they are flying too fast there is no time to make decisions this is a big step forward to the apocalypse and this commentator is mumbling the same thing,unknown
as oppenheimer whould say to russia putin you foolish people who think you are gods to use the word and take advantage of the atomic bomb while invade other free lands on earth people like this are not worthy,russia
this guy is talking nonsense,unknown
anouk teeuwe,unknown
zelensky and joe biden want to create a big mess which will make it for trump to clean up and solve they want to make putin reject negotiations so that trump would have no other choice but support ukraine,"russia, ukraine"
please find somebody intelligent for the position of intl affairs editor because this guy is ridiculous,unknown
the expert is mistaken he thinks nuclear weapons will be used against ukraine far from it nuclear weapons will be used against france uk usa germany and all nato countries with the capability to fire nuclear weapons,ukraine
even after being given a 30 minutes warning prior to the launch of the hazel they still couldnt intercept itbut putin is bluffing even after intercepting 5 of the 6 storm shadows fired by ukraine,"russia, ukraine"
zelensky said the long range game changers would speak for themselves i didnt heard them since the oreshnik thunder spoke lol,ukraine
emergency meeting 5 days after the strike oh by the way philip is definitely on drugsno way someone can be this delusional,unknown
wen am not mistaken one of prime minister of hungry he said clearly about this war what is needed is sending military equipment and he stand to be round table this is only solution this is because he knows russia is not easy county they can surrender any how,russia
dealing with idiots is very difficult they even admit that they have passed several redlines what do they want russia to do act on their warnings,russia
so nato strategy is to keep this war going on until putin give up,russia
one weapon has shaken the entire nato west and to the core such that they have to have an emergency meeting it must be very badstorm shadows and atacm were shot down then followed the an experimental weapon attack,unknown
joke of the yearusa and allies wont fight a nuclear war on ukraine behalf why would they risk their citizens life for ukraine,ukraine
nato called russias bluff putin showed a royal flush,russia
emergency talks in a week,unknown
in my opinion it will be naive to think that when russia decides to use nuclear weapons it will only use against ukraine the day the decision is made whole of europe and all the russia adversaries will be the the target russia is not going to give chance to adversaries to retaliate afterwards,"russia, ukraine"
uk and us couldnt even stop illegal immigrant boat on sea and taliban yet they want fight against russia and stop orishnik brvo,russia
this guy id dummer than i touught,unknown
they start throwing stones all over but when russia throws a single stone nato suddenly holds a meeting to discuss it,russia
eu leaders are to blame for all this sorry for european citizens,unknown
definitely america and its notorious nato will not use nuclear weapons against russia when russia attacks only ukraine with nuclear bomb america is such a selfish nation which doesnt bother about anyone else but its own,"russia, ukraine"
please please please stop using this guy for commentary on the war low quality nonsensical takes are all he does,unknown
was that a surprise what was expected when biden authorized long range attack inside russia,russia
yup ukraine gotta give up territory they fought it out for 2 years and they loss time to cut their losses and move on end the war,ukraine
if russia nooks ucrane no one is gonna risk striking back in kind at russia over the fricking donbas are you kidding me,"russia, ukraine"
i would not call a meeting 5 days later an emergency,unknown
why would almighty putin use nukes on ukraine wen usa and europe is there,"russia, ukraine"
so according to this guy if putin uses nuclear in ukraine the americans will nuke russia and what happens when nukes are on their way flying to russia he is basically saying that if putin uses nuke in ukraine the world will end if thats the case why you are not worried why it is ok to be so incoherent and still get so much airtime,"russia, ukraine"
germany is a joke,unknown
just in case you havent understood the intended use of the russian missile it appears to me to be intended to destroy aircraft and runways however using it not for its intended use seems to be an act of intimidation may be a duel use weapon when fitted with nuclear warheads or even chemical or conventional,russia
these guys are always in meetings for ukraine wen are they working for their people,ukraine
cry harder,unknown
us must understand that they cannot win this war russia at this moment is invencible,russia
typical british clown,unknown
you giving putin way to much attention he is seeking,russia
ukraine uses western long range missiles to destroy an underground command center russia fires 2 new missiles one exploded on launch to destroy a boiler room in a housesums it up,"russia, ukraine"
russia have already won,russia
russians are not playing around,russia
is ukraine worth risking a nuclear exchange with russia,"russia, ukraine"
ww3,unknown
131 this is such wildly irresponsible bluster using nuclear weapons against russia means the end of london paris berlin nyc and washington dc i seriously doubt the west wants to risk all that for ukraine these people forget that russia has more nuclear weapons than any other country,"russia, ukraine"
the left which includes france24 is hurdling us to annihilation,unknown
zelensky the missiles will speak for themselves oreshnik i have spoken for myself,ukraine
germany is chicken,unknown
so many meatings no result,unknown
putin knows the day he uses nukesthat will be end of his life and presidencythsts why he ran to address world that missile is not nuke capable carrying onehe wanted to protect russiahe is very smart politician though,russia
russia phoned united states of america before launching the missile and america couldnt do anything about it,russia
russia needs to learn the hard way,russia
i hope that oreshnik doesnt become oreshnuke time to apply common sense is now,unknown
putin always hit back with decisiveness and panache where cant he reach with oreshnik,russia
when push comes to shove nato will crush putlerrussians are just waiting for the chance to get rid of him and he knows it,russia
the us is laughing how far is the us from the eu,unknown
wed better all pay our monthly contributions to czar putin i dont want to die yet,russia
this man is too old to speak such nonsense,unknown
its time for ukraine to end its war with russia,"russia, ukraine"
its better to think twice i think we are playing with fire,unknown
three months on and russia hasnt yet managed to push the ukrainian troops out of kursk despite 50 k troops of their own and allegedly 10 k north korean troops the collective west is growing stronger while russia seems to get weaker for each day no way russia will win this war,"russia, ukraine"
russia stop lieing your noise getting to big,russia
al jazeera katar rusia,unknown
slava ukrajini,unknown
34 drones when both russia and ukraine are losing around 10k drones per month from all causes wow lol,"russia, ukraine"
fayazqureshi2214 1552 1721 1991,unknown
democracy will solve this crisis ukraine and russia has been married for 1000 years no peace unless russian voters allow ukraine a divorce,"russia, ukraine"
say what you want russia still holds 13 of ukraines land,"russia, ukraine"
why dont the ukrainians allow reporters in their frontlines why do they hide so much,ukraine
down with the russian tyranny and its brutal and satanic dictator and his propaganda machine and all dictatorsfreedom shall ring again for beloved ukraine nieder mit dem russischen tyrannen und seinen teufel handlangern all these pootin lovers go to russia and get out,"russia, ukraine"
russia has the right to defend itself from us nato ukraine,"russia, ukraine"
well tomorrow we will hear the truth,unknown
ajazeerais here the only source telling about russia advances,russia
trump said he can get this war to end as soon as he got elected what happened oh thats right he was lying because he knew he did not have the authority to do it selling dreams,unknown
clownselenky destroyed his own country his own people,unknown
ukraines not only has lost ground but also elite personels and their best weaponslol,ukraine
really bastid russia,russia
ukraine need to tell nato no,ukraine
dont be fooled in the comments sections they are almost all russian bots generating comments to try to sway the narrative like and help spread this message under as many of these kind of videos as you can so people dont get fooled,russia
both china and russia should stop supporting gaza until al jazeera stop all pro western disinformation,russia
its like russian are using ukraine war to upgrade,"russia, ukraine"
your map at 027 is all wrong,unknown
slava ukraine,ukraine
putin 2 week special military operation now past 1000 days its easy to see that putin is too weak once a great respected world power now reduced to a 3rd world status,russia
3 years later and i still dont know why we should care about this ukraine is not in nato,ukraine
the more you think about it the more you realize war is stupid like really stupid,unknown
the ukrainian authorities are once again showing their insanity,ukraine
this strange news report and frankly tedious comments posted are telling,unknown
the oligarchic democracy of oil magnates is not a democracy because the oligarchs pay only for those democratic projects that bring them to power this is a deception of both the people and the current government therefore in ukraine such oligarchic media outlets are not considered politically correct and are subject to condemnation by both the people and the current government in wartime such instigators of enmity among the people must be isolated from the people and not considered correspondents at all because they work for an external enemy hiding behind the mandate of a journalist in the same way that an fsb agent hides behind the church mandate of his branch in another country the government must be obliged to neutralize such agents in accordance with international rules,"russia, ukraine"
faster than the ruble,unknown
i wonder what this reporter is telling even locating in kyiv,ukraine
russia needs to learn what it is like to be on the receiving end of war,russia
029 what is with that map russia currently permanently occupies 27 of ukraine territory that map doesnt reflect thatand crimea has been controlled by russia for an entire decade is al jazeera english a us state department subsidiary,"russia, ukraine"
why cant they wait for trump to be in office,unknown
somebody should tell poopster and his cronies that theyve lost over 750000 military personnel also someone tell pooper and his boys that interest rates in russia are now 21 and inflation is over 10 oh yeah the ruble is now worth wait for itless than a penny if you dont see bankruptcy in your future with those numbers you are blind bye bye rooskies,russia
russian and ukerine are two big fools just like hamas and hez,russia
how on earth with their advancedweapons and systems lose to people fighting with shovels,unknown
russia is a second rate country putin is xis lap dog and nothing more and when your best friend is north korea with a population of 26000000 of which 20000000 are starving peasants that says everything about them,russia
the monster putin who has islamic blood on his hands for ordering the killing of 1000s of our brothers and sisters in chechnya,russia
stop the war in ukraine,ukraine
i love how both sides continue to think that both are winning,unknown
russia been weakened to the point putin has drawn north korea into battle and use of rcbm on ukrainian territory exactly americans intend is to weaken its natural enemy trumps plan will shock everyone but putin and zelensky will be friends again,"russia, ukraine"
biden if russian missiles are at your doorstep then you will keep silent,russia
poor guy in keeeeeev cant say or report anything because ukraine banned journalism lol,ukraine
ruskie lies,unknown
for each drone zelensky will ask a billion dollars more,ukraine
whatever the truth is one fact is indisputable its unwise and naive to believe anything that moscow says,russia
so zelensky downgrades from missiles to drones after facing a real missile,ukraine
how can you side with palestinians and ukraine it doesnt make sense the same people fuelling the war in palestine are the same people fuelling the war in ukraine,ukraine
little foolinsky clown will cry like baby the ukrainian people are being sacrificed for him and his criminal government,ukraine
in english kyiv is pronounced kiev just like for example paris is not pronounced parri in english lisbon is lisboa in portuguese i will continue to call kyiv kiev,ukraine
there needs to be a independent commission to investigate those who lead the world into this pointless conflict,unknown
correspondent must learn not to quote western figures when reporting about russian forces because they do not have a clue and they use numbers to give the impression that they do,russia
kursk is the graveyard of ukrainean special forces zelensky will be court martialled for that,ukraine
ukraine is lying russia is going to get your country because you use the united states weapons in russia,"russia, ukraine"
glory aan oekraine,unknown
when you see two neighbouring countries fighting know that america has visited one of them nelson mandela,unknown
so zelensky and ukrainian are still doing this nonsense,ukraine
when you see two neighbouring countries fighting know that america has visited one of them nelson mandela,unknown
ukraine always lying each and everydayslava russia,"russia, ukraine"
bravo russia,russia
i heard the messenger of allah say lands shall be thrown open to you and allah will suffice you against your enemies but none of you should give up playing with his arrows,unknown
russia alhamdulillah,russia
false information,unknown
dont step on the dirty traps,unknown
wir kennen die wahren terroristen,unknown
pootin,unknown
pootin,unknown
putin is a legend,russia
good morning warning putin is crazy man and manipulator that is all bay from europe,russia
putin is a thug wearing a suit,russia
zelensky a puppet of isreal as is uk and usa russia should know who the real enemy is,"russia, ukraine"
hong kong students did not launch a war or prepare to launch a nuclear war they were imprisoned by the chinese government for the crime of endangering national security then russias putin launched an military aggression war and prepared to launch a nuclear war faced with this crime that truly endangers national security should the chinese government arrest putin,russia
putin da hero,russia
real putin ma men,russia
putin gentleman world class hero,russia
nato wanted this war and they want to keep it going they get rich whille people die,unknown
zelensky is an idiota huge foolone responsible for destroying his own country and allowing his people being killed for no reason still refusing to understand that rmhe is being used by the americans for their own goals,ukraine
most of the world sees the current situation through russian eyesmr putin has support everywhere,russia
man the russian bots are working overtime here maybe if putin didnt invade ukraine this wouldnt be happening now he either has to back out and look weak or escalate it further and look dead,"russia, ukraine"
russian are more mature than usa about nuclear powerusa showing neuclear button every time spider man line true for russia gret power gives more responsibility,russia
100 bidens fault,unknown
ok russia president putin can tested from thailand,russia
dont mess with mr putin he means what he says n says what he means,russia
eu proved to be foolsyou are at the like of sight for a hitputin never bluffs,russia
7 bild 22,unknown
3 days is more similar to your again mistake have a collections of what you said you cannot make it putin again,russia
i dont understand a man startsa war kills men women and children and he gets praise,unknown
pray for peace and protect the innocent people,unknown
putin invaded a sovereign statethe one thing i can agree with in his statement is that he considers himself entitled,russia
im anti american imperialism and very pro palestine so why do people support this man he is also an imperialist ukraine is a sovereign nation just as palestine is i support them both as should anyone pretending any global superpower is good while others are bad is the same as what the west is doing,ukraine
dont take his patience for a weakness,unknown
where is the cowards of the westthe hypocrites are just tucking their tails under their legs may god bless you putin for putting people in their places i guess thats why your name is putin,russia
you are selling and sending all kind of weapons to all poor africans too you may not know how many people got killed by those weapons,unknown
did he just threaten the us and uk,unknown
end is near be prepared,unknown
yuppp he not bluffing,unknown
car skazal zdelal,unknown
he is wright he is fighting satan in the flesh,unknown
russian ruble,russia
sorry russia the us government has been hijacked by maniacs,russia
7,unknown
should the west just allow this monster to invade whatever country he wants that question is for all the russian bots in this comment section,russia
this monsters ego is what will cause ww3,unknown
hes shaking in his clogs,unknown
i found out for the first time why this war is happening i am sorry my country lied i sincerely hope this will be over soon,unknown
gentlemanhe did what was best for his motherlandits a huge responsibilityafter all he didnt joke or gossip like other leaders,unknown
the west will learn a very expensive lesson,unknown
love you putin,russia
russia has every right to defend itself,russia
i hope the west is listening to this great statesman properly not he is escalating but the west with their dishonest and foolish policy,unknown
russia has right to defend itself from nato,russia
great leader,unknown
where is donald trump he said he would end this war,unknown
long live russia,russia
putin is attacking ukraine ukraine fighting back putin is basically hitler,"russia, ukraine"
all rigged on both sides its to weaken europe no one is that stupid i dont think a single human has been killed from war if you have you are no longer human,unknown
the ukrainians will be thrown under the bus by the west they picked a fight with putin and they have suffered the consequences meanwhile ukraine will lose land and lives and driven into poverty for the next 40 years while the western governments extract interest and resources from them lesson never pick a fight with the biggest guy in the bar if you are relying on a gang called nato to support you they are inly interested in self preservation,"russia, ukraine"
i wouldnt trust amerikkka and i wouldnt trust putin even more,russia
he glued his hands to the table,unknown
russian power f west,russia
putin is king long live,russia
dont you cry zelensky lmao,ukraine
one of the greatest leaders of our time,unknown
aooorrrraaaaa,unknown
mr putin is just like abu ubeida in a way just gives chills,russia
putin is the most respected leader of the free world he has the right to act do whatever it takes to keep the world a safe place for russians humanity,russia
wow this just tells me putin is not with the iluminati elite he is own man i love that whether good bad or indifferent,russia
russia has a right to defend itself,russia
just to get more lands while russia is already the biggest country and lot of people applaud this monster,russia
west is using ukraine ukraine future is dull this war hit ukraine soul deeply but us and west dont make a strong strategy to solve this big problem by peaceful way,ukraine
i can see he is still cool but dont test him the f war started because of nato expansion which not suppose to be happened now the special operation by russia are still same dont poke the bear to call it a war they have more advance weapons and crazy friends just waiting to crush the west,russia
putin is a patient man i respect him a lot for that,russia
war in the middle east enmity weapons weapon exporters russia america india france the biggest terrorists netanyahu and biden putin and the poor modi,russia
solidarity with the president and people of the russian federation thank you for protecting us from western domination,russia
putin looks very tired,russia
if youve any courage as people say teach israel a lesson then talk you dont even dare to speak against the,unknown
f off no war,unknown
ukraine should be thankful that russia isnt using the zionist playbook,"russia, ukraine"
russia india,russia
the world is now depending on putins patience towards usa and natos ridiculous provocations since nato offered ukraine to be its member but nato declined ukraine membership proposal as soon as ukraine attacked russia and be doomed,"russia, ukraine"
the reality checkputin i am getting old and in last years of my life why should i die while rest of the world will enjoy lets die all,russia
this is a real leader not a comedic tv actor trying to be a leader putin has walked the walk and talked the talk,russia
bravo,unknown
allora tu puoi usare uomini della corea e ucraina non puo fare nullaapparte che tutti voi dovreste essere rinchiusi detto questo sei patetico putinguarda che non ci vuole niente per considerati terrorista perche non puoi continuare a tenere le persone anzi i popoli sotto scacco del nuclearedalla ragione stai passando al torto,russia
peace please through diplomacy the west have been war mongering for centuries it needs to stop,unknown
benjamin is the real war criminal,unknown
we do not share the views of our government and putin knows this please sir do not punish us over the actions of the people who steal from us,russia
