comment,kebijakan
jual beli jabatan adalah budaya kita,unknown
yosep priyangga mukti mpd tidak pernah menyangka di usia 29 tahun memiliki 7000 subscribers youtube,unknown
pajak naik kebutuhan smua ikut naik kalaupun udh naik tidak mau turuncuma gaji doang tidak naiknaikpdhl negara juga tidak ngasih kerjaan malah banyak pengangguran giliran sudah dapat kerjaan mereka paling depan narik pajak wakanda wakanda,ppn_12_persen
innalillahiwainnalillahirojiun,unknown
denger cerita lu sedih banget gueh bg sedikit drama cari pekerjaan jadi cleaning service pelayan resto pun sulid saya juga pingin kek orang orang bisa berkontribusi ke negara ya setidaknya walau hanya bayar pajak motor mio soul gueh begitu hemmmm kadang ada pikiran pindah negara saja apa ya eh maksudnya kerja di negara lain saja apa ya tapi biaya yg harus di penuhi tidak cukup uang 1 atau 2 jt ngenes ngenes yah bapak saya bukan koruptor di dalem penjara selama 65thn terus dapet uang 5t siii hanya kang ojek open collaboration kali saja ada label musik yang baca tulisan ini dan liat potensi diri guemoto jangan berusaha menyerah saja owowkwowkwowk semangat lurrr,ppn_12_persen
takutnya bukan untuk bayar utang negara,unknown
semoga bumn bisa nyumbang keuntungan yg banyak buat negara,unknown
pajak naik 909 dari 11dampak harga kebutuhan semua naik 20 deplasi bagi pengusaha inflasi bagi rakyat yang hebat lagi expor bahan tambanng 0 tampa pajak,ppn_12_persen
kebanyakan masyarakat indonesia berpikiran ngapain juga ikutikutan mikir hal spt ini toh tidak ada untungnya dan juga tidak akan berpengaruh kepada kitasementara upaya pembodohan melalui kedok pendidikan tidak pernah disadari sudah sangat berhasil membuat anakanak bangsa ini sudah terlanjur bodoh maaf,unknown
ppn pemungutan paksa negara,ppn_12_persen
indonesia menuju emas korupsi 300 tgimna kbrnyakerja di pt keringet sampe pantat gji pokoxlmbur kendraan kna pjakcuman mw di korup dan ngasi makan pra pejbtjmbut lh,ppn_12_persen
puasa tahun ini buat podcast lagi dengan drricad asik dan mendidikdan tolong buka topik hati yg bersih dan kasih sayang sesama manusia,unknown
keren harus kita dukung opini opini seperti ini terimakasih sudah bersuara,unknown
padahal mudah saja negara menghasilkan pendapatan diluar pajak simpelnya orang miskin saja msh bisa menghasilkan uang halal dengan modal kecil apalagi negara yg punya modal super besar,ppn_12_persen
saya yakin para petinggi2 itu tidak tahu kalau yang namanya umr dan umk itu sangat tidak berlaku karena hampir semua tempat kerja itu tidak umr dan umk contoh saya saya kerja di sebuah perusahaan yang dimana pemiliknya warga asing saya kerja 12 jam isitrahat 1 jam libur tidak menentu libur sangat jarang bahkan ketika hari besar dan gaji saya cuman 15 jt rupiah dan sekarang malah ada ppn 12 bagaimana tidak benci indonesia,ppn_12_persen
game crusader kalau pajak terlalu tinggi maka populasi untuk buat pasukan tidak ada dan masyarakat pasti tidak senang yg ada kehancuran kerajaan itu karena kekurangan populasi,ppn_12_persen
setuju sekali ustadz siau,unknown
ganti gus miftah dengan ustad felixbuat penasehat presiden,ppn_12_persen
di indonesia tidak ada orang kaya buktinya mobil di depan rumahnya tapi di dapur masih ada melok 3kg jugaada kah tetangga kamu,unknown
sangat mewakilkan menginspirasi menambah wawasan ustadzsehat selalu ustadz,unknown
pungutan paksa atau pajak adalah negara terbelakangfinlandia 57denmark 56jepang 563 negara diatas terbelakang,ppn_12_persen
felix bayar pajak gakk,ppn_12_persen
bahas korupsi 300t penjara 6 tahun ustad felix shiaw,ppn_12_persen
kepada seluruh warga indonesia kamu telah tersilap kerana di malaysia gst kami adalah 0 yang kamu kata 6 7 8 tu adalah sst gst dan sst adalah 2 cukaipajak yang berbeza sebagai contoh jika warga indonesia datang bershopping membeli iphone computer pakaian barangan makeupetc etc di malaysia kamu tidak perlu membayar gst kerana di malaysia 0gst beruntung kami sebagai warga malaysia kerana tidak perlu membayar gst pastilah beruntung kerana sedangkan kamu di indonesia perlu membayar ppn sebanyak 12 so jika kamu nak bershopping silakan datang ke malaysia kerana di malaysia bershopping sampai pengsan pun boleh kerana di malaysia adalah 0gst gst di malaysia telah di mansuhkan pada tahun 2018 kerajaan malaysia sangat sayang pada rakyatnya dan pada para pelancong untuk bershopping,ppn_12_persen
drpd naikin pajak mending kejar tuh yg koruptor2 ambil smua kekayaan nyajangan dikit2 minta rakyat bantu negara tapi korupsi tidak di beresin di biarkan begitu ajamasuk penjara senyum2 dalam penjara,ppn_12_persen
assalamualaikum warahmatullahi wabarakatuh lebih sering bikin konten dong tad,unknown
tidak apa apa pajak naik lumayan buat di korup dan subsidi haji,ppn_12_persen
jangan tanya negara apa yang berikan padamu rakyat nih uang pajak,ppn_12_persen
arab saudi mmng negara kaya tp belum menjadi negara maju contoh negara yg kaya sekaligus maju itu jerman jepang amrik dsb,unknown
indonesia darurat korup,unknown
denger tuh srimulyani dan the geng,ppn_12_persen
inilah jadinya mualaf tanpa dasar ilmu dijadikan rujukan,unknown
mirip gamenya kayak cities skyline ustadzitu game simulasi membangun kota favorit sayangatur pajak pengaliran air pembuangan limbah transportasi pendidikan kesehatan pabrik lahan pekerjaan taman hiburan dlldan memang pemasukan di game itu paling besar ya dari pajakjadi soal pajak ini sangat penting dan sangat berpengaruh dalam game ini kalaupun kesejahteraan rakyatnya jelek pajak tinggi membuat populasi menurun bisa karena mati karena susah bertahan hidup dan biaya pada mahal atau sengaja meninggalkan kotanya karena pajak yg terlalu besar pernah saya naikin pajak 1 saja langsung pada pada marah sampe sampe populasinya turun cukup drastisjadi saya berbenah pajaknya saya kecilin tapi setidaknya pemasukan tidak mines secara perlahan saya coba menaikkan kesejahteraan rakyatnya setelah melihat sudah cukup bagus saya coba naikin pajaknya sebesar 2 dan ternyata mayoritas rakyatnya tidak protes dan terima terima saja alhasil pemasukan kota bisa semakin besar dan saya bisa tingkatin lagi kualitas kotanya dari segi sumber dayapabrik sdm dan kesejahteraan rakyat yang mana akhirnya pajak bisa saya naikin lagi tanpa pernah di protes jadi kalaupun berdasarkan game itu semakin sejahtera rakyatnya mau naikin pajak 12 tidak ada masalah,ppn_12_persen
padahal saya alumni veteran stronghold crusader tapi ustad felix bisa ngasi penjelasan berdasarkan fakta game itu yang selama ini tidak saya sadari,unknown
gantilah sistem ekonomi kapitalis yang dzolim dan ancur ini,unknown
semoga ustad felix siauw di berikan umur panjangsehatdan selalu di lindungi allah,unknown
next konten untuk penggunaan uang pajak di indonesianya donk dan kenapa di naikin sih indonesia lagi butuh apa atas oajak dari rakyat yang di naikin yaa,ppn_12_persen
numpang nanyak ustadz apa fungsi pajak di megeri yg korup,ppn_12_persen
ustad apakah ada cara kira kira mempersatukan sunni dan syiah masalahnya awal perpecahan islam itu menurut saya berawal dari politik sehabis nabi muhammad saw wafat tapi perpecahan itu makin parah bahkan sampai ke teologi dimana sunni itu kalau mengambil hadist bisa diambil dari mana saja sahabat mana saja sementara syiah hanya menerima hadist yang disampaikan ali dan ini membuat perpecahan sangat terlihat bahkan berbeda hingga hari ini apakah ada kemungkinan suatu saat sunni dan syiah itu rekonsiliasi menjadi satumaaf bila pertanyaan saya nyeleneh,unknown
stop anggaran tidak perlu plzbanyak bgt instansi buang duit tidak perlu buat kantornya pake duit pajak saya penikmatnya tapi jujur merasa guilty bgt pake uang orang kecil buat hal se nyaman ini yang ngga perlu,ppn_12_persen
yg paling parahnyakita dah bikin usaha dari 0 dan berkembang menjadi bisnis yg besar contohnya kulinerrr ya allah tiap hari kita harus kirim bukti omset kita lewat mesin kasir yg mereka kasihhh kita udah buka usaha agar mengurangi penganggurannnntiba tiba preman berseragam datang minta pajak pada kitaapa solusinya ya teman2,ppn_12_persen
mantap lanjutkan terus ustadz felik sangat setuju penjelasan sama 1 pemikiran,unknown
ustadz indo kan punya utang nah yang nanggung siapa dong kalaupun nanti di hisab masa se indonesia kena semua umpamane ustadz,unknown
sebenernya logis tidak ustadz kalaupun orang yang gajinya dari pajak lebih besar dari orang yang membayar pajak sedangkan pajak itu sendiri bisa di bilang hasil paksaan,ppn_12_persen
mantap pak felix,unknown
efek makan siang gratis selamat menikmati,unknown
nangis saya lihat video ini,unknown
semangat bersuara uzt felix semoga jadi dakwah amal jariyah sekeluarga senantiasa dilindungi allah swt aamiin ya rabb,unknown
ya allah dholim sekali pemimpin2 negaraku,ppn_12_persen
wowo hanya sebagai wayang dari wiwiterus lah kalian dukung tuh keberlanjutandikasih pilihan pemimpin amanah malah pilih yg omon2,ppn_12_persen
beresin dulu lah pengelolaan uang pajak kalaupun itu udah beres dan dapet kepercayaan penduduk baru mikir naikin uang pajak siapa yg mau bayar ke maling negara coba,ppn_12_persen
harus nya pendukungnya jokowi gibran yang kita tumbalkan dan musnahkan untuk mengurangi populasi supaya pajak tidak naik,ppn_12_persen
terwakilkan,unknown
hanya penjilat yang ikut menikmati hasil korupsi saja yang tidak rela jika majikannya dikritik menjadi rakayat yang kritis itu sudah suatu bukti kepedulian menjadi rakyat yang dungu itu moral penjilat,ppn_12_persen
game apa yang dibahas ustad diawal vidio wkwk,unknown
koruptor 300 t di hukum 6 th alasan punya tanggungan keluarga kalaupun gtu ntar masyarakat rame rame korupsi per org 1 t saja,ppn_12_persen
salut sih sama ustfelix maa syaa allah berani menyuarakan politikustlain takut di bennn,unknown
bayar pajak tidak mau tapi setiap hari pakai fasilitas dari pajak,ppn_12_persen
kita doakan felix sauw jadi presiden dimasa depanaminnamin,ppn_12_persen
pajak 12buat memenuhi kebutahan para koruptor,ppn_12_persen
issu2 yg ada saat ini mungkin diciptakan sengaja utk mengaburkan isu ppn 12mulai kisruh bola timnasgaji naik 65 sampau kasus2 korupsi mngkin sengaja baru dirilis maybee,ppn_12_persen
sedih masarakat kecil,unknown
semoga allah buka mata hati para pemimpin negara utk menjadikan indonesia lebih baik lagi aamiin,ppn_12_persen
terus kite harus gimna nih demo besar kah,unknown
sangat menarik dan jarang sekali yg berpikir begini negara ini memaksa orang2 yg susah yg sederhana untuk membiayai para pejabatperlu di lakukan kajian mendalam tentang kenaikan pajak 12 sebenarnya siapa yg melayani siapa,ppn_12_persen
siapsiaplah baraya katanya kang guru gembul bahwa barubaru ini menerapkan salafisasi yang katanya mengumumkan pengaktifan polisi moral untuk memerintahkan untuk melarang kejahatan di jalan dan daring dan sebagai respons terhadap perilaku yang bertentangan dengan nilainilai masyarakat disana kang guru gembul seperti memberlakukan jilbab pada perempuan dewasa dan siswi di sekolah menghilangkan fenomena percampuran antara perempuan dan lakilaki di kafe juga ditaman dan tempat umum dan sebagainya dan melarang gaya rambut dan pakaian yang tidak biasa yang tidak sesuai dengan budaya masyarakat islam atau arab dan sebagainya juga melaksanakan dan mewajibkan perempuan untuk mengenakan pakaian yang sopan dan sopan di tempat umum dan sebagainya dan melarang perempuan bepergian tanpa wali lakilaki dengan menyatakan bahwa ada kebutuhan untuk mengaktifkan kepolisian perempuan dan sebagainya melarang impor gaya pakaian yang tidak sesuai dengan budaya masyarakat arab juga islam dan sebagainya dan memantau jalan dan halaman media sosial termasuk tiktok dan sebagainya juga menuntut pemilik kafe dan restoran serta individu yang mengenakan pakaian yang tidak pantas baik pria maupun wanita muda dan memastikan tidak ada seorang pun yang duduk dengan priapria maupun lawan jenis dengan cara yang tidak pantas dan sebagainya juga katanya kang guru gembul mengatakan polisi akan diberi pelatihan tentang alquran dan sunnah dan sebagainya itu kang guru gembul juga katanya baraya mereka tersebut berjanji akan menangkap siapa pun yang melanggar aturan ini dan akan melakukan penggerebekan rumah jika ada orang yang kedapatan melakukan tindakan tidak bermoral dalam islam dan sunnah dan sebagainya itu kang guru gembul dan katanya baraya menyatakan bahwa siapa pun yang mencari kebebasan pribadi harus meninggalkan negara ini dan pergi ke negara lain atau menghadapi hukuman mati dan sebagainya kang guru gembul juga katanya telah menghadapi kritik keras dari banyak kaum sekuler liberal dan modernis kami memohon kepadanya agar membantu dia dan mereka yang bersamanya dalam melaksanakan langkahlangkah mulia ini dengan sukses untuk membimbing dan menguatkan mereka di atas kebenaran begitu katanya baraya kang guru gembul yang saya liat yang katanya sesuai dengan alquran dan sunah dan sebagainya juga masyarakat arab dan juga islam katanya begitu kang guru gembul dari apa yang saya liat 216 225 343 347 352 401 633 650 1235 140 320 521 556 641 822 917 1109 1124 1138 1218 1226 1305 1402 1446 1505 1552 1649 1710,ppn_12_persen
pak saya mau nanya kalau hukumya tidak bayar pajak di agama islam gmna ya,ppn_12_persen
semoga pembuatan kebijakan itu di laknat allah subhanuhuwataala,ppn_12_persen
jalan busuk polisi busuk preman busuk dmn mana politikus busuk pejabat maling apbn tp rakyat diperas tiap hari,ppn_12_persen
apapun alasannya ppn 12 yg dicekik itu rakyat kecil koruptor dibiarkan hidup subur di negeri,ppn_12_persen
dengan ulasan ustad,unknown
ini aneh yah indonesia kan begitu kaya gunung emas nikelbatubaraminyaktimah smuanya ada,unknown
benerrr,unknown
kalau di konoha pajak di naikin fasilitas nol besar pajak besar hanya mmperkya para pejabat,ppn_12_persen
sy tdk mlht 1 nya tapi knpa sampai jadi 12 hrs nya 6 saja jangan banyak utk apa emang utk di korupsi scra bergantian ya kalian para pjbt udah saling koling koling ya nanti stlh kamu yg korupsi giliran kite ye yg korupsi kyak arisan gitcuu boss hah hah hah ajg kalian,ppn_12_persen
kebetulan saya main itu game stronghold crusader jadi sebagian besar paham sih,unknown
logis dan komprehensif,unknown
ustadz felix apa hukumnya membeli senpi rakitan untuk menembak terpidana korupsi yang sudah ditetapkan hukumannya tetapi menurut banyak orang tidak sesuai dengan nominal yang telah dikorupsi,ppn_12_persen
assalamualaikum ustadz boleh info daftar buku keuangan islam kah yg reccomended dari ustadz felix antara yg bahasa inggris atau indonesia krn selain itu belum fasih bahasanya hhehekmarin ud coba2 searching di google tapi keywordnya kayaknya tidak dapet jadi belum ketemu yg kayaknya legit mohon advicenya ustadz,unknown
bukanya bagi2 skin di awal season malah kena ulti 12,ppn_12_persen
jangankan 12 15 kita siap asal 1 bersihkan koruptornya,ppn_12_persen
plot twist ternyata ini bukan soal game tapi soal konoha eaaa,ppn_12_persen
selain bayar hutang apakah utk menutupi kerugian dari koruptor aaah mumet ndasku,ppn_12_persen
alhamdullilah masih ada ustad felix yang masih berpikir kritis waras dan selalu mencerdaskanmakasih,unknown
kalau menurut saya biarkan elite pake jurus apa saja didepan kita negara kuat sedang menyantap negara lemah suka tidak suka negara lemah menjadi santapan negara kuat tanda2 nubuwah tegak sudah diperlihatkan tugas kita memberi kontribusi dalam tegaknya nubuwah sekecil apapun jangan sampai disebut ketinggalan kereta,unknown
menyedihkan ustdz terkadang pajak yg dibayar mereka gunakan utk mengambil kebijakan maksiat apalagi menjelang tahun baru support pemerintah utk pesta tahunan dengan kembang api yg wah begitu luar binasa,ppn_12_persen
bhas jgaa tentang dendaa damaai pra ksus koruptoor ya ustaad si wowo trnyataa hanya omon omon jnjii doaang,unknown
asli kalau di negara ini tidak ada orang tamak kemungkinan besar kita bisa seperti uni emirat arab sekarang ini negara kaya gemah ripah sumber daya alamnya dan sebenernya kita bisa buat sesuatu teknologi yg mendunia karena banyak anak bangsa yg cerdas dalam berbagai bidang namun negara ini lebih mendahulukan belanja daripada berkarya,unknown
pajak 11 saja di korupsiin saja sama yg nampung pajak nya v,ppn_12_persen
300 t duit 1 koruptor saja kalaupun di bagikan rakyat ri perkepala dapet 10jt gaesbayangin kalaupun semua koruptor duitnya masuk untuk rakyat semua,ppn_12_persen
yang begini yang kalian pilih untuk jadi pemimpin kalian 12 skrg nikamtilah gemoy fufufafa,ppn_12_persen
hhh era penjajahan mode korupsi,ppn_12_persen
pajak budaya penjajah,ppn_12_persen
nah,unknown
njirrr tahu banget lagi game ini,unknown
aku yg hanya manusia biasa sangat tidak setuju pajak naik aku juga udah tidak percaya sm pemimpin sm pemerintah negri ini bahkan aku pas pemilu milih golput tidak ada guna milih pemimpinujung2nya nyusahin rakyat,ppn_12_persen
koruptor hukum matikorupsi 10jt up hukum mati hasil bumi indonesia melimpah rakyat sejahtera dan tentu pajak murahintinya koruptor hukum mati,ppn_12_persen
sehat sehat pemimpin dzalim,ppn_12_persen
aneh banget kalau negara pendapatannya dari pajak padahal sda melimpah ruah terus sda yg dijual2 itu hasilnya dikemanakan ya,ppn_12_persen
tenang saja pak ustadnegara konoha kita akan jadi korea utara ke 2 pak usatadhabis itu mungkin akan terjadi seprti 1998,ppn_12_persen
negara maju tidak pakai pajak lah ini dikit2 naik makin menangis buat yg perintis buat bayar pajak,ppn_12_persen
pengen pindah negara saja,unknown
gamenya stronghold dengan expansi pack crussader,unknown
anaknya dikasih makan siang gratis 10rb bapaknya dipajakin 12,ppn_12_persen
harusnya negara tuh kasih banyak buat kita bukan apa yg kita kasih buat negara kan ini tanah lahir kita banyak banget hasil alamnya manaaaa kok tidak mempermudah hidup ku tidak kaya arab hanya punya minyak doang rakyatnya makmur malah tersiksa hidup di negara in kurang duit saya mau beli motor aj susah malu jaln kaki,ppn_12_persen
konoha memang tidak beres,ppn_12_persen
luar biasa bang felix semoga alloh swt permudah semua urusan kita semua,unknown
mas mas adidas itu dah mulai jadi buzzer dianya ustad felix,unknown
pak ustadz felix mau tanya di akhirat nanti yang nanggung hutang negara siapa,unknown
itu harvey katany korupsi triliunan dihukum 6 tahn tad tukang colong sandal deket rumah saya tertawa mndengar ini semua,ppn_12_persen
oh indonesiaku,unknown
siapa yang setuju koruptor dihukum mati,ppn_12_persen
semua akibat ulah oligarkipdip jokowimulyanilbp dkk,ppn_12_persen
pajak adalah pungutan paksa untuk negara mereka yang korupsi kita yang nanggung demi allah ya mereka zholim kita kerja pagi pulang malam pendapatan paspasan negara bukannya jadi tempat kita untuk bernaung ini malah pemerintahannya pada bikin susah rakyat mau sesusah apa lagi kita pak bu penjabat yang terhormat,ppn_12_persen
kaget ustadz kok tiba2 bahas cursader wkwkw udah nakama nge game jadul pula dah se frekuensi dah ahirnya nemu ustad yg bisa saya percaya,unknown
intinya kalaupun pajak naik negara semakin bobrok kemunduran pemerintahkita tunggu semangat th 98 rakyat mulai murka,ppn_12_persen
benar sekali ustadz,unknown
zakat saja hanya 2 stengah persen pk ustadz kita jangan diam harus angkat senjata,unknown
di game yaa di,unknown
indonesia akan terus seperti ini karena sudah di desain oleh kapitalis dari sektor pendidikan saja uda jelas diatur sedemikian rupa seolah olah jika sudah lulus jadi karyawanmasih banyak aturan2 yg menjurus seperti perbudakan untuk memenuhi nafsu para kaum yg berkuasa pintar dan rakuslemahnya negara indonesia itu dengan cara salam tempel semua dijalanin yg penting mereka yg rakus akan dunia tercapai nafsunyabeda dengan sdm nya tinggi mereka bahkan rela berperang dari pada diperbudak berperang bukan brarti adu senjatasemoga masyarakat indonesia semakin maju dan para pejabat semakin ingat bahwa tidak amanahnya seorang pemimpin dalam hal apapun itu lebih berat tanggung jawab nya didunia maupun diakhirat,ppn_12_persen
doakan saya ya biar selalu di beri kesehatan dalam bekerja untuk mencari uang untuk bayar pajak,ppn_12_persen
harusnya pajak di indonesia 100 kita rakyat jelata tidak layak hodup,ppn_12_persen
jangan sesekali pilih pemimpin jawa tidak bisa benar gabisa maju wkwk,ppn_12_persen
lihatlah gaji para pegawai plat merah dan fasilitas operasional yg banyak mengabiskan uang pajak negara punya alasan agar mereka hidup berkecukupan sehingga bisa fokus berkerja dan tidak kepikiran niat korupsi tapi negara lupa padahal manusia punya sifat serakah sudah diberi harta yang banyak hingga 7 turunan tetap masih merasa tidak puas ada kesempatan recehpun masih diembat memberikan gaji insentif tinggi dan fasilitas operasional mahal bukanlah hal baik yang harus di upgrade adalah sanksi hukum manusia paling takut dengan hukuman yang kejam semakin kejam undangundang tindak pidana korupsi makin efektif menyelamatkan negara ini,ppn_12_persen
jazakillahu khoiron ustd felix masyarakat jelas tidak setuju kalau pajak naik pajak sepeda saya sdh 10thn tidak bisa bayar,ppn_12_persen
syukron penjelasannya ustsdz,unknown
ini salah siapa lalu bagaimana cara menyelesaikan nya,unknown
mungkin pajak ppn dinaikkan tuk membiayai makan gratis prabowogibran,ppn_12_persen
sumber pendapatan utama wakanda dari pajak sebesar 80 kekayaan sda nya lari kemana,ppn_12_persen
kangen liat ustad felik ngobrol sama young lex,unknown
sda nya digali habis2an sdm nya dipajaki habis2an bahkan kalaupun bisa nafas dan buang air besar pun dipajakin,ppn_12_persen
entah saya harus optimis atau pesimis dengan indonesis emas 2045,unknown
yg kaya makin kaya yg miskin makin melarat,unknown
sampe capek ngasih tahu orang yang tidak ngerti politik yg hanya nyari keputusan jangka pendek,unknown
setau saya uang pajak itu berhubungan dengan robicon,ppn_12_persen
negeri ini kacaw sih kita kyknya oerlu orang2 macam monkey di dragon,unknown
kekayaan kita sda kita dikorup seperti halnya korup tambang timah yg 300t itu,unknown
kaya reman saja majek sumber daya alam ada buat bancakaan negara lain punya sda diolah benar balik ke rakyat tidak beres beres dikinoha,ppn_12_persen
dalam kata lain pejabat kita banyak yang dzolim,unknown
saya sampai saat ini masih main game stronghold crusaders tersebutapa yang disampaikan semuanya benar butuh kesetimbangan dalam membangun negeri komponen pajak sangat berkaitan dengan popularitas yang berdampak terhadap keseimbangan negeri,ppn_12_persen
pajak naik semua harga jadi naik bro ya kalau harga mobil saja yang naik si tidak masalah tapi nyatanya semua barang ikut naik harganya,ppn_12_persen
percayalah ini bukan hanya soal pajakkalau di teruskan lebih dalam bakal merembet sampai ke pihak luar,ppn_12_persen
seandainya pajak digunakan sebagai mana mestinya oleh pemerintah indonesia pasti lebih makmur dari negara2 sea lainnya,ppn_12_persen
pajak di naikan tapi korupsi meraja lela mbuh lah kapan mau maju mau pajak 50 kalaupun yang korupsi masih menjamur tidak bakal jadi negara maju mau negara kaya sumber daya alam kalaupun hasilnya masuk kantong pribadi kaya kasus harvey moeis kapan negara mau maju pajak tinggi jalan berlubang anggaran milyaran yang di kerjakan hanya nambalnambal dari aparat desa saja udah doyan korupsi berantas dlu korupsi mau pajak tinggi bahan pokok bakal murah kena subsidi,ppn_12_persen
kekayaan alam digerus orng tertentu kena hukum juga hukum becanda tidak sebanding kerugian negaranya kek negara kaya saja sok2an tidak nindak tegas rakyatnya saja yg diperes terus,ppn_12_persen
love,unknown
kita buat effisieniya makin effisien peras rakyat,ppn_12_persen
kaum 58 ngrti kga ya,unknown
dari 100 pendapatan pajak dari rakyat yang di keluarkan untuk kepentingan rakyat 12 sajamaksudnya begitu apa orang pajak kendaraan bermotor mahal mahal jalan pada berlobang,ppn_12_persen
negara dan tarif ppnargentina 21belanda 21uni eropa 208 italia 22 belanda 21 spanyol 21 prancis 20 jerman 19inggris 20rusia 20turki 20india 18brasil 17meksiko 16arab saudi 15afrika selatan 15cina 13indonesia 11australia 10korea selatan 10jepang 10swiss 81kanada 5amerika serikat 0amerika serikat tidak memiliki ppn secara nasional namun pajak penjualan dan penggunaan diberlakukan oleh masingmasing negara bagian dengan tarif bervariasi antara 29 hingga 725permasalahannya bukan pajak tetapi1 kekayaan negara indonesia yang tidak dikelola dengan baik dan jujur2 korupsi pejabat di semua lingkungannya secara umum bahkan dalam lingkungan terkecil yaitu kelurahan3 khususnya perilaku pejabat pajak yang faktanya hidup kaya dan cepat kaya ini bukan hoax ini fakta jika ada yang jujur itu adalah oknum dan4 kurangnya bahkan amat kurangnya kompensasi pajak berupa layanan publik oleh negara,ppn_12_persen
negara ini memang ya di kuasai oleh elit pejabat korup,unknown
semoga selalu sehat dan sukses kak,unknown
negara ini lebih parah dari gotham city polisi bertindak semaunya tanpa bisa dihakimi politisi hanya mentingin omset dia pribadi sistem perpolitikan tidak jalan pemerintah hanya ngandelin pajak ke masyarakatnya tanpa timbal balik ke rakyat bumn tidak ngasih keuntungan buat negara pdahal banyak yg tidak ada kompetitornya sda tidak sampe 10 nyumbang ke kas negara masa negara yg katanya kaya sumber daya alam 80 penghasilannya dari pajak rakyatnya aneh emang ni negara hanya ngandelin jumlah penduduknya saja makin banyak jumlah penduduknya makin banyak pemasukan pajaknya tidak ketolong nih negara,ppn_12_persen
sangat setuju ustad banyak yang bilang pajak 12 itu tidak akan kerasa karena yang kena cuman barangbarang premium saja tapi banyak yang tidak sadar kalau bbm dan listrik dengan voltase tertentu itu juga kena pajak sedangkan 2 hal itu sangat penting untuk perputaran bisnis kalau itu sampai naik ya semua barang ikut naik mau itu termasuk barang premium atau tidak,ppn_12_persen
tausyiah ust felix itu untuk orang2 yang berimankalau mulyono mulyani tidak akan pernah percaya meyakinikarena pemikiran mereka adalah pemikiran iblis dan dajjaladili mulyono mulyani,ppn_12_persen
ina emas hidup dari malakin rakyatnya sendiri,ppn_12_persen
pulsa udh naik mulai bulan november beli 10rb kenaikannya 500rupiah semoga para pencoblosnya dulu bisa berdoa ats kedzaliman pemimpin yg telah dipilih nya umr naik 56 tapi kenaikan barang dan tarif pulsa internet ikut kena imbas nya ya sakit bos,ppn_12_persen
harus nya orang kaya yang di pajakin seperti bos bos presiden mentri dewan pengusaha lalu uang nya buat rakyat miskin yatim piatu,ppn_12_persen
ya allah tolong jaga ustad ini ya allah,unknown
stronghold,unknown
katanya zaman teknologi maju indonesia emas bla bla rasanya seperti balik ke jaman kerajaan,unknown
sekian ribu orng yg membayar pajak ujung nya di korupsi buat apa seharusnya pajak tidak usah di naikan hilangin saja semua para korupsi pajak 5 pun klau korupsi tidak ada indonesi aman saja di ingat lg indonesia itu kaya dengan sumber daya alamnya,ppn_12_persen
lo pemilih 58 lo badjingan,unknown
rakyat cuman ternak pasrah saja 50 pun tetep bakal bayar wkwkwkw,ppn_12_persen
di game jarang yg korupsi,ppn_12_persen
tikus mati di lumbung padi,unknown
singkat saja dari gwmakan tu keberlanjutan ngoahahahahah,unknown
koruptor biang keroknya dpr,ppn_12_persen
aku takut kejadian 98 terjadi lagi,unknown
setuju ust felixsemoga selalu di lindungi allah swt,unknown
yang merasa miskin n kena pajak 12 siapa ya,ppn_12_persen
kaum 58 tidak akan bisa berfikir jernih karena iq nya belum sampai,unknown
saya tdk setuju ppn naik jadi 12tp bacot lu kaya paling bisa dan benar,ppn_12_persen
stronghold crusader,unknown
seperti sim city harus masuk kurikulum biar ada simulasi membangun kota wkwkwkwk,unknown
perlu kenaikan gaji kenaikan tunjangan tunjangannya tunjangan krn inflasi wakil yg paling sejahtera,ppn_12_persen
rakyat akan setuju naik 12persen asalkan presiden berani sahkan hukum mati koruptor brpapun jumlahnya,ppn_12_persen
yang lebih mengecewakan lagi hukuman bagi koruptor kok makin lemah lembutmau di bawa ke mana negeri ini pajak mau di naikin koruptor makin di manja,ppn_12_persen
masih nyembah dewa hubal ya koh felix,unknown
brunei uae qatar no pajak,ppn_12_persen
demo kyak 98 kuy,unknown
astaghfirullah,unknown
mentri agama sj koropstp kabinet jokowiyg dukung jokowi ttp wae bela jokowi smpi matiuang haji kmn,ppn_12_persen
kenapa tidak uang koruptor itu saja buat bayar hutang negara,ppn_12_persen
betul ustadz kalau mereka nyuruh kita pindah dan tinggal di luar negeri juga bakalan tetep dikenakan pajak khusus wni yg tinggal diluar negeri sama saja dipalakin,ppn_12_persen
perkataan yg keluar dari mulu pejabat yg suka ngomong kalaupun tidak suka tidak usah tinggal di indonesia pindah saja itu bukti harusnya kalian masyarakat paham bahwasannya mereka emg udah tidak niat ngebangun negri,unknown
effect dari mulyono sampek sekarang yaa ngapain juga sih mulyono jadi pres segala sih,ppn_12_persen
agama minta 25 itu pun per tahun negara minta 12 setiap transaksi,ppn_12_persen
dapet kerja saja sampe skrng belum dapet kenaikkan ppn udh naik saja haduhh,ppn_12_persen
apakah intinya pejabat indonesia sangat tidak pecus,unknown
penjualan hijab alila juga turun dong,ppn_12_persen
terima kasih ustadz sudah mewakili kita,unknown
negara suka malakin rakyatnya terus boro boro rakyat di sejahterakan tapi dengan pajak naik tingkat kemiskinan rakyat pasti akan bertambah itulah negara konohak,ppn_12_persen
bacot saja loe felix,unknown
