comment,paslon
"tni yg sejuk dn mengayomi rakyat
sy blom pernah melihat polisi ngopeni rakyat adanya kalau ada kasus pasti rakyat kecil diperas dn kalah karena tdk punya duit sy sdh pernah mengalami","andika_hendi, luthfi_taj"
andhika_hendi for jateng 2024,"andika_hendi, luthfi_taj"
andika,andika_hendi
tni andika,andika_hendi
pati andika,andika_hendi
01jawa tengah menyala,andika_hendi
lutfi sombong  yg berwenang  untuk menangkan pemimpin bukan jokowi tapi masyarakat,luthfi_taj
"paslon no2 kelihatan gak pede sekali berkalikali nyebutin bohirnya tau dong siapa yg dimaksud 
padahal nama sang bohir sudah cukup babak belur akibat kelakuannya sendiri di periode kedua
semoga jawa tengah dapat pemimpin yang berkualitas bukan hanya mengandalkan ordal",luthfi_taj
pati all in andika bukan sambo,"andika_hendi, luthfi_taj"
wonosobo 01,andika_hendi
1 lhos,andika_hendi
1,andika_hendi
1 x andika ttp andika karena hanya tni lah yg sesungguhnya pengayom masarakan bukan polisi polisi hanya cari2 kesempatan untuk cari cuan kpda rakyat kecil,"andika_hendi, luthfi_taj"
tni maju brsama rakyat,andika_hendi
02 terus mengatakan kami akan tapi tidak memberi tahu bagaimana caranya untuk membangun janji janji itu,luthfi_taj
ada kartu ngopi gratis tuh,unknown
lutfi mirip tessy  habiburohman,luthfi_taj
jepara dukung 01,andika_hendi
insyaallah jawa tengah perkasa bersam gubernur andika n wkl gubernur hendi,andika_hendi
kok 02 liat contekan mulu gimna mau kerja klau debat aja liat contekan pak klian klau mau d pilih dri kta2 kalian tnpa contekanliat 01 mrka gk mliat contekan tpi mrka dri isi pmkirn nya yg tlh dia tmpung dari masyrakat,"andika_hendi, luthfi_taj"
saya pendukung pak prabowo untuk pilkada kali ini saya dukung 01 andika hendi jateng perkasa,"andika_hendi, luthfi_taj"
andika hendi luar biasa jateng lebih baik di pimpin andika hendimantap,andika_hendi
wonogiri dan sekitarnya dukung pa andika gubernur jateng,andika_hendi
bintang 3 sama bintang 4 levelnya berbeda,"andika_hendi, luthfi_taj"
debat yang menyenangkan semua cinta damai siapapun yang terpilih nanti semoga bisa sesuai dengan apa yang di haturkan malam tadi salam cinta damai,unknown
tak perlu banyak ngopenitapi dari ambisi mu kelihatan 02 01 lebih tegasberwibawaterbuktii menjadi pemimpin rendah hati,"andika_hendi, luthfi_taj"
andika hendi the best gubernur jateng selanjutnya,andika_hendi
01 bersama masyarakat jawa tengah  tni gass pol,andika_hendi
andikahendi 01,andika_hendi
01 pk andika perkasa hendi gas pol,andika_hendi
pk andhika perkasa hendi jawa tengah yg terbaik,andika_hendi
yes rambono sambo,"andika_hendi, luthfi_taj"
pak andika tidak banyak bicara tp mengamati lawan bicaranya beliau smart berintegritas terlihat wibawanyaa  lopyu pokoke pak,andika_hendi
bismillah ya allah tolong beri kesempatan buat dpet pemimpin baikk kaya pak andhika dan pak hendi yaallah,andika_hendi
andika omku  perkasa,andika_hendi
polisi ko mau nyalon wong sekarang yg pungli2 itu juga banyakan dari polisi2,luthfi_taj
sebagai mahasiswa administrasi publik jadi penasaran dengan birokrasi di semarang di masa pak hendi menjabat,andika_hendi
dulu masalah wadas kan kapoldanya dia kan dia yg nggusur warga,luthfi_taj
paslon 01 layak  pantas,andika_hendi
kalian percaya kah kalau polisi yg ngomong,luthfi_taj
oke gas oke gas 01 for jateng,andika_hendi
ngopeni ngelakoni korupsi,unknown
jadi nyesel dpd kemaren pilih gus yasin udah jadi malah nyawagub,luthfi_taj
ngopeningelakoni ngapusi,unknown
mc nya bilang huruf 5 harus nya bilang angka,unknown
"sdh gampang saja pake logika  pengalaman hidup  sampeyan menawi diaturi kagem milih ajeng milih piyayi saking tni nopo polri
menawi boten wonten kepentingan nopo2 pasti pilih tni","andika_hendi, luthfi_taj"
lagi2 yg di kedepankan jokowi pdhl selama menjadi presiden apa yg di lakukan buat jateng pdhl dia termasuk orang jateng tp nyatanya jateng masih miskin di banding propinsi lainyancb solo kalo bkn anaknya yg jd walkot saya kira ya sama aja gk ada kemajuan jd cb berfikir dikit biar ngerti n paham,luthfi_taj
pilihlah sesuai hatimu,unknown
kandang banteng besok di ratakan lagi ingat 16,andika_hendi
jangan salah paham ya gus yasin maju di wkl gubernur karna diminta,luthfi_taj
02 lebih relevan dan realistis in shaa allah yg terbaik yg menang,luthfi_taj
kami sekeluarga pro pak andika hendi,andika_hendi
bismillah saya tetep pilih 02,luthfi_taj
89 yg komen pak andika,andika_hendi
"kualitas udh terlihat
1",andika_hendi
kabupaten semarang untuk pak andika hendi,andika_hendi
keliata dr ekpresi muka kok mana yg kopeten mana yang omong saja,unknown
pak andika,andika_hendi
setelah lihat debat gak ragu lagi mantab bp andika d bp hendardi siap bergerilya merapatkan barisan utk kemenangan bapakkeduanya sy tdk kenal d blm pernah ketemu tp melihat kecerdasan d kerendahan hati bapak sy berdoa tuhan berkenan mjdkan gubernur jawa tengah amin sukses bapak tuhan berkati,"andika_hendi, luthfi_taj"
"jawab jujur kang pilih tni nopo polri





bebas hak pilih ki ojo di pekso  ttp santun jangan saling menjatuhkan 


nak aku jujur ae tni orasah di go sepaneng pnting do rukun nyawiji ojo do pecah mergo bedo pilihanbeda pilihan ki biasa jenenge pemilu ki",andika_hendi
iklane ngisin ngisini wong jateng mbok yo bintange diganti jin soko iklan djarum,unknown
aq golput wae,unknown
pokoke siji ya tetep siji,unknown
sy pilih 02 nderek yai,luthfi_taj
ok 02,luthfi_taj
saya warga klaten pilih dari tni yg jelas berjuang utk rakyat pilih 01 bpk andhika perkasa,andika_hendi
semoga pak andika menang,andika_hendi
pak andika mantap ora contek2an,"andika_hendi, luthfi_taj"
kalau dari pengamanan saja yg harusnya mengayomi tapi tetep saja kena pungli,unknown
"februari 2024 sudah milih taj yasin ternyata gak amanahwis dadi kok malah mblenjani 
november yo mosok arep milih meneh yo prei kenceng",luthfi_taj
sing penting mlakune kedepane piyeawke dw ora ono singerti,unknown
andika hendi juoz,andika_hendi
pilih yg tidak main keroyokan,unknown
debat bawa2 nama orang lain  tandanya ga pede ga tau apa yg akan dia kerjakan,luthfi_taj
lutfi pamer didukung jokowihahahamalah gak milih anda karena didukung j,luthfi_taj
01,andika_hendi
anti ladusing  daerah yg d pimpin ladusing pungli nya wo habis2,luthfi_taj
andika hendi mase,andika_hendi
jelas panggah pak andika,andika_hendi
pak lutfi kelihatan banget klau skilnya kalah jauh dr pak andhika memang tampak banget klau pak andhika lebih cerdas dan pandai dr pd lutfi,"andika_hendi, luthfi_taj"
amin rais tetap idola,unknown
kadang santri dibuat kedok politik kan gak masok,unknown
kok yo masih aja bawa2 presiden to pakdeg isih to,luthfi_taj
tetap gass 02 2,luthfi_taj
jangan mau jateng diobok obok sambo cs lembaga terkorup di indonesia masih di pegang oleh polisi lho,luthfi_taj
pak andika tulus untuk rakyat sehingga tidak menggebu gebu haus kekuasaan masyarakat bisa melihat dari sikap dan tindakan pak andika yang tenang,andika_hendi
ngopeni ngelakoni ngapusi,unknown
lebih nyaman punya gubernur dari tni pak andika hendi god bless you,andika_hendi
pak andika tetep o,andika_hendi
pak andika semangat,andika_hendi
pak andika,andika_hendi
pak andika yes bravo tni,andika_hendi
santai tegas pak andhika,andika_hendi
pak andika wibawa danmerakyat kami anak pati dukung pak andika,andika_hendi
jateng bakalan panen amplop intine ono seng ngewehi amplop tampani ae tp pilihan tetep rambo ojo sambo ok bos salm songko wong solo  siap nyunslepke jokowi neng kandange dewe kene rambo kabeh ora ono sambo,"andika_hendi, luthfi_taj"
lbh pilih tni sdh terbukti kalo polri ingatnya sambo rudiana cs,"andika_hendi, luthfi_taj"
02 gas,luthfi_taj
mantap no1 memang oke,andika_hendi
no 1 dong,andika_hendi
no 2 memang tau byk soal jateng tp dari situ jg tau bgmn cara mengakali orang2 wkwwkwk,luthfi_taj
meh milih pak andika tapi rak seneng mbek partaine,andika_hendi
pokoknya rambobukan ssmbo,andika_hendi
"osama bin laden gubernur pilihan jawa tengah 

merdeka",unknown
mf gus anda tidak konsisten wagub belum selesai mundur nyalon dpd kepilih dpd mundur nyalon wagub lg mf plin plan andai si kae tidak terhalang uu pilkada jenengan tidak dipilih kim plus2,luthfi_taj
saya masih teringat kadus wadas purworejo,unknown
keduanya bagus semua siapapun yang jadi semoga jateng semakin maju,luthfi_taj
pak andika menang,andika_hendi
polisi po tni kih,"andika_hendi, luthfi_taj"
orang cerdas pilih rambo,andika_hendi
debat versi membaca contekan,unknown
tni sih,andika_hendi
pak andika lebih cerdas tegas dan wibawa no 1 pilihan warga jawa tengah,andika_hendi
02 ngestoaken dawoh,luthfi_taj
pendukung 02 gak ada yg menjelekkan pendukung satunya komennya wow parah2 ngomongnya,"andika_hendi, luthfi_taj"
guus yasin 02,luthfi_taj
02,luthfi_taj
02,luthfi_taj
02,luthfi_taj
nomor 2,luthfi_taj
02,luthfi_taj
gus yasin,luthfi_taj
nderk gus yasin,luthfi_taj
sy dari sulawesi tengah dukung pak andika,andika_hendi
otak waras orang hebat milih nomor 2 orang jateng asli,luthfi_taj
02,luthfi_taj
gus yasin,luthfi_taj
saya juga dendam dgn oknum polisi jadi kita harus pilih pensiunan tni gas poll pak andika p,"andika_hendi, luthfi_taj"
01,andika_hendi
"hasil survey menang rambo
tapi hasil nyata kpu bisa terbalik
ketika kepala desa bergerak
sambo bertindak
jokowi keluar memihak
kpu jadi budak
itu barang haram bisa menang","andika_hendi, luthfi_taj"
gatot kacane jateng,unknown
insyallah ndan luthfi gus yasin menang,luthfi_taj
sy seneng tnitp syg kenapa kok mau jadi petugas partai pdipsy yakin andika kalah,andika_hendi
prabowo subianto itu orang jateng kebumen banyumas dan mendukung 02 yaitu pasangan ndan luthif gus yasin apalagi paslon 01 di usung banteng yang meresahkan,"andika_hendi, luthfi_taj"
no 2 bawa bawa prabowo jokowi terus,luthfi_taj
01,andika_hendi
gus yasin plinplan banget yaa wkwk,luthfi_taj
ketika polisi bicara saya skip,luthfi_taj
no 2 jadi aamiin aamiin aamiin,luthfi_taj
luthfi kemplinti ngono kok ape dadi gubernur y sombong,luthfi_taj
aku jateng pilih pak andika,andika_hendi
jateng yg di butuhkan pemimpin no urut 2 aamin aamiin aamiin jadi,luthfi_taj
agama yudaisme yahudi sudah jadi agama yg di akui negara tah  saat mulai kok pada ngucapin shalom  apa saya salah dengar,unknown
"kalau paklutfi ma gus yasin jadiwagub dan cawagub insyaallah jateng gayeng makmur aman
baldatun toyyibatun warobbun ghofur",luthfi_taj
jateng perkasa 1,andika_hendi
warga jateng yok menangkan andika  hendi luthfi hanya boneka kim,"andika_hendi, luthfi_taj"
menang no 2 pak lutfi gus taj yasin,luthfi_taj
01 fransiskus,andika_hendi
ayoh supir kalo ga pingin ada pungli pilih dari tni,andika_hendi
02,luthfi_taj
02 gus yasin dan pak luthfi religius nasionalis nasionalis religius,luthfi_taj
ingat supriyani guru honorer gajinya hanya 300 ribu dipalak 50 juta rupiah oleh anak buahnya ahmad luthfi rakyat jateng sudah cerdas jelas pilih cagub andika perkasa,"andika_hendi, luthfi_taj"
luar biasa pak luthfi,luthfi_taj
bismillah insyaallah pak andika menang  aamiin,andika_hendi
andika,andika_hendi
pak andika pak hendi top markotopkeliatan santuy bergebu2 namun gak rakus kekuasaan keliatan semangat utk membangun jateng,"andika_hendi, luthfi_taj"
no 1,andika_hendi
debat pertama para calon di gendong wakil2nya,luthfi_taj
tni bolone rakyat,andika_hendi
demak dukung luthfi gus yasin,luthfi_taj
rambo,andika_hendi
pak andika lebih adem dan santun murni tanpa contekan,andika_hendi
hidup tni,andika_hendi
dari wajahnya keliatan wibawa dan karakternya satunya cara bicaranya aja agak cepet alisnya mengkerut,andika_hendi
pernyataan jendral handika blunder  buat pdip karena gebernur  sebelumnya ganjar pranowo adalah kader pdip,andika_hendi
no banteng,andika_hendi
"mau siapapun gubernurnya jateng saya rasa gitu2 saja perkembangan dan kemajuan jateng
sangat sulit untuk ngimbangi kemajuan provinsi lain sperti jabar dan jatim
soalnya klo kemajuanya bisa sperti jabar dan umr nya beda tipis
takutnya pabrik2 dijabar dki banten para pedagang kaki lima para kuli bangunan dll
pekerjanya jdi berkurang scara dri semua lini kebanyakan orang2 dikabupaten jateng
gk ada lg orang2 jateng merantau dan bisa2 tak ada lg mudik
itu unekuneku selama ini",luthfi_taj
ok gass no 2 paling pas,luthfi_taj
ini debat yg luar biasa kedua saling mendukung visi misi mengkritisi tapi memberi solusi tdk menjatuhkan satu sama lain kedua nya punya wibawa terimakasih bapak2 calon gub dan wagub sudah memberikan debat yg cerdas kami menjadi terbuka pikirannya utk siap memilih siapapun yg jadi itulh yg terbaik,"andika_hendi, luthfi_taj"
"aku wong purwokerto pilih rambo 
pak andika menyala",andika_hendi
jawaban no 1 konyol semua gak ada yang tepat dan gk yambung jateng ful internet wong jakarta kok mau mimpin orang jawa kussya tengah ya waguu lurr  rasional aj 02 menang,"andika_hendi, luthfi_taj"
saya berharap bpkandika menang di tgl27 mendatang pilgub jateng amin,"andika_hendi, luthfi_taj"
jendral andika,andika_hendi
"hancurkan banteng 
al in 02
semangat kawal sampai jadi 
gus kuh","andika_hendi, luthfi_taj"
no1 pilihan ku,andika_hendi
yoyok betah isin,unknown
rakyat udh tau klakuan para ladusing diluaran sana  ladusing yg baik hanya ada di tv,unknown
polisi lawak,luthfi_taj
lutpi sak drunge nyalon wonge ng ndi sopo seng kenal,unknown
rambo yess ladusing no,andika_hendi
jateng tetap 01 baju loreng bukan sambo,"andika_hendi, luthfi_taj"
paling tepat 01 tanpa nyontek ketika jawab pertanyaan tegas santai karna tidak terburu buru karna nyonten pak andikahendi emang jos,andika_hendi
saya bukan banteng pilwakot semarang sy pilih yoyok tapi gubernur saya pilih andikahendi ex walikota terbaiku kalau ustad saya pilih gus baha sebagai panutan,"andika_hendi, luthfi_taj"
02 banyak visi dan misi tapi pembuktian elektabilitas dipolri menurun karna tdk bisa menyelesaikan kinerjanyaa mlh dekengi para korupsi mafia tanah,luthfi_taj
02 mulai awal  akhir kok nyontek terus  wes ndak masuk,luthfi_taj
01,andika_hendi
kenapa tad yasin jadi seperti itu ya sy pilih dia fadi dpd karena dulu dia wagubnya pak ganjar tapi kemarin saat debat tidak pernah sama sekali dia menyebut pak ganjar padahal selama 5 tahun hasil kerja dia pasti atas persetujuan dan kebijakan pak ganjar lupakulitnya,luthfi_taj
"02 jangan lupa promosikan dekengannya biar semua tau 
tapi maaf 1 suara saya juga menentukan anda
andikahendi jateng 1","andika_hendi, luthfi_taj"
"ingat tni garda terdepan untuk melindungi negara
lebih di cintai masyarakat daripada si ono",andika_hendi
bismillah semoga pak andika menang mimpin jateng rendah hati dan berwibawabravo pak andika,andika_hendi
kenapa saya tidak pilih lutfi karena selama jadi kapolda masak kasus sukolilo tidak diketahui dari awal sehingga terjadi korban baru dibereskan setelah viral seharusnya ada pencegahan,luthfi_taj
"santri iku ya bolo tni 
santri kok melu polisi","andika_hendi, luthfi_taj"
rambo bukan sambo sukses bpandika  relawan jateng siap sangat mendukung,"andika_hendi, luthfi_taj"
pekalongan siap pak andika bravo tni citramu emas di mata masyarakat,andika_hendi
love you tni,andika_hendi
cagub 02 jawaban nya diajarin wakilnya kelihatan kurang siap,luthfi_taj
1,andika_hendi
pak andika,andika_hendi
ojo sampai pungli merajalela,unknown
cagub no 2 luthfi dan gus sibuk lht contekan,luthfi_taj
bocahe dewejgn pilih org luar  pilih yg pernah kerja di jateng  coblos no 2  terbukti visi misi dan jawaban yg eleganpilpres no 2 menang pilgub jg no 2,luthfi_taj
"apapun partainya insya allah tetap pk andika gubernur nya
baldatun thoyyibatun wa robbin ghofur 
shollu alaa muhammad",andika_hendi
ak org jateng tpi ak merantau di jkt kira2 bsa ikut nyoblos gk ya di perantauan,luthfi_taj
solo andika perkasa,andika_hendi
kelihatan jauh beda kecerdasannya cuy andika go go go,andika_hendi
pak kyai ngrumat pondok mawon tak kei suara dadi dpd malah nyalon wakil meneh,unknown
wes jelas di kei tni bintang 4 sekelas presiden nak iseh mileh polisi jan ra ngerti meneh,"andika_hendi, luthfi_taj"
debat ae iseh moco ngko nak ngadepi rakyat terus piye lawak lutpi,unknown
rekam jejak e lutpi di ngeti sek,unknown
andhika keliatan panik,andika_hendi
pak andika tanpa banyak catatan semua sudah ada dalam pemikirannya salute,andika_hendi
"02 oke oke oke  insya alloh menang menang menang
the best rambo  jawatengah perkasa","andika_hendi, luthfi_taj"
02 oc,luthfi_taj
pak gatot for jateng,unknown
jangan liat partainyatapi liat ketulusan calon gubenurnya,unknown
keliatan mana yang tulusmana yang cari jabatanpercaya saja pilih gatotkocone jateng,unknown
andika jos,andika_hendi
bismillah andhika  hendi untuk jateng yg lbh baik,andika_hendi
bismillah andhika  hendi untuk jateng yg lbh baik,andika_hendi
bismillah andhika  hendi untuk jateng yg lbh baik,andika_hendi
jadilah anak muda yang pintar memilih masa depan jawa tengah 5 tahun mendatang,unknown
coba sentil wilayah jateng kab brebes kecamatan bantarkawung dskuntuk signal set top box saja gak adatolong di perhatikanterimakasih,unknown
terbaik ko umk paling jelek lapangan pekerjaan paling sulit dicari pie to lik,unknown
pilih rambo bukan sambo,"andika_hendi, luthfi_taj"
saya orang tangerang  masyarakat jateng pilih tu andika sama rakyat amanah,andika_hendi
gus yasin,luthfi_taj
pak andika orangnya pinterberwibawa cara berbicara santun dan tetatur,andika_hendi
24025 kok kepotong,luthfi_taj
pak andika joss,andika_hendi
saya dari kuningan jabar mendoakan bapa andika perkasa smoga sukses paandika orang nya baik sama rakyat ga sombong salam dari kuningan,andika_hendi
mobil listrik di indo menurutku masih sama spt mobil minyak biasa krn listrik indo mayoritas masih dr pltu yg itu dr batu bara,unknown
"lebih bagus lg klo pak andika menjelaskan bgmn kita menggunakan air permukaan kalau tdk ada sungaiair sumur biasa yg airnya tdk keluar tdk hanya pajakregulasilarangan sumur bor dsb nya masyarakat yg susah

pak lutfi sudah lumayan dgn desalinasi di area dekat laut yg daerah gunung bagaimana

kalau ada yg lebih lengkap lebih bagus","andika_hendi, luthfi_taj"
"gugu kae deloke paslon no 2  wolak walek catetan omongane clemat clemot orak pas salah terus genah wedi kalahe wz tegang wajahe 
pokoke bismillah yakin mantap lillahitaala pilih 01 andikahendi jateng perkasa","andika_hendi, luthfi_taj"
"ngapunten guz selama 5 tahun ngapain aja  tambang tambang yang ada di pegunungan kendeng tidak di cabut izinya malah semakin besar seharusnya ketika anda menjabat sebagai eksekutif berwenang menyelesaikan masalah tambang galian c bencana banjir di kabupaten pati kabupaten kudus kabupaten grobogan kabupaten demak yang mengalami banjir terbesar yang menutup akses jalan pantura yang artinya menghambat perekonomian jateng khususnya itu terjadi di priode anda bencana banjir di kabupaten pati dan kudus seharusnya bisa menjadi bahan evaluasi apa penyebab banjir saya sebagai orang awam aja mengerti apa penyebabnya penyebabnya yaitu 1 tambangtambang di daerah pegunungan kendeng dan 2 penggantian pohon jati menjadi pohon jagung solusi 1 tutup tambang 
2 mengintruksikan perhutani mengenai sosialisasi bagaimana  jika pegunungan ini jangan di tanami jagung karena pola pikir masyarakat ingin menanam yang 1 tahun bisa panen kita kasih solusi masyarakat agar menanam alpukat yang hanya menunggu 4 tahun dan selebihnya bisa panen setiap tahun tanpa menanam kembali  paling parah persoalan yang saya keluhkan yaitu mengenai tambang selama menjabat kemana saja guz bisa di cek sendiri sampe detik ini jalanan dari sukolilo menuju desa prawoto hancur lebur 1015 meter bagus 50100 meter jelek  untuk kali ini saya memberikan kesempatan kepada pak andika dan pak hendi semoga penanganan tambang dan penggarapan tani di gunung kendeng bisa lebih baik lagi","andika_hendi, luthfi_taj"
serba salah no 1 unggul karena pak jokowi yg nomer 2 mumpuni karena sudah terbukti dari kinerja pak hendi sayangnyapartai pengusungnya itu yg jadi masyaallah,"andika_hendi, luthfi_taj"
nomer siji,unknown
seribu koment semua mendukung pak andika,andika_hendi
pilih rambo jgn pilih sambo,"andika_hendi, luthfi_taj"
kami tetap milih pak andikajgan pilih polisi  untuk jawa tengahpolisi berpihak  sama orang yg berduit,"andika_hendi, luthfi_taj"
ladusing sibuk lihat tulisan,unknown
terus selama ini jadi wakil gubernur ngapain aja kl tempat kelahirannya aja tidak di perhatikan,unknown
jngn sampe pilih si ladusing yg jdi kacungnya si jkw,luthfi_taj
semua komentar untuk andika hendi menuju jateng perkasa,andika_hendi
tolong keluarga saya yg di jawatengah  pilih pak andika,andika_hendi
"melihat sekilas aja udah kelihatan mana yg punya intregitas tinggi

pak andika dan wakilnya kelihatan lebih tenang

saya netral karena bukan orang jateng 


tapi dilihat dari semuanya lebih condong ke pak andika dan wakilnya


semoga allah mengabulkan niat baik bapak

dan semoga gak di setir partai",andika_hendi
andika perkasa 1 putaran,andika_hendi
andika hendi untuk jateng perkasa,andika_hendi
lha kok no 2 sll bwa contekansll bc contekanksh an amat,luthfi_taj
pak andika perkasa orang cerdas smart,andika_hendi
"rambo yes
sambo no","andika_hendi, luthfi_taj"
buat apa pilih pemimpin yg disetir ya ujung2nya ya tidak beres akan membawa benih2 yg tidak baik hati2ya kamana ya ke itu2ya kan hati2 saja luur dan kita harus was2 luuroke,luthfi_taj
anak3 sy biadanya beda ma ibuke sejarang sana pak andika,andika_hendi
suka sama kecerdasan dan kebaikan pak andika,andika_hendi
gusy pilih siapa y bsok,luthfi_taj
aku warga jateng jadilah pemimpin yg adil,unknown
duite cpo om go bayar utang,unknown
saya dukung pak andika berwibawacerdas berakhlak,andika_hendi
luthfi keliatan seperti sudah tau pertanyaannya dan jawaban terkesan hafalan wkwk,luthfi_taj
"tenang pak 01
biarkan 02 berkampaye trs","andika_hendi, luthfi_taj"
semoga pak andikahendi di berikan kemudahan menjadi jateng 1,andika_hendi
tni sendiri nganggap andika penghianat skrng jelas2 dia kandidat boneka drama mata kita belum kebuka btw dulu hrusnya ga ush pilih pak prabowo biar nyahok lu gua cukup ngamatin dr luar krusakan yg hakiki n harga diri negara yg rendah krn masi banyak boneka drama,"andika_hendi, luthfi_taj"
tni sendiri nganggap andika penghianat skrng jelas2 dia kandidat boneka drama mata kita belum kebuka btw dulu hrusnya ga ush pilih pak prabowo biar nyahok lu gua cukup ngamatin dr luar krusakan yg hakiki n harga diri negara yg rendah krn masi banyak boneka drama,"andika_hendi, luthfi_taj"
tni sendiri nganggap andika penghianat skrng jelas2 dia kandidat boneka drama mata kita belum kebuka btw dulu hrusnya ga ush pilih pak prabowo biar nyahok lu gua cukup ngamatin dr luar krusakan yg hakiki n harga diri negara yg rendah krn masi banyak boneka drama,"andika_hendi, luthfi_taj"
tni sendiri nganggap andika penghianat skrng jelas2 dia kandidat boneka drama mata kita belum kebuka btw dulu hrusnya ga ush pilih pak prabowo biar nyahok lu gua cukup ngamatin dr luar krusakan yg hakiki n harga diri negara yg rendah krn masi banyak boneka drama,"andika_hendi, luthfi_taj"
tni sendiri nganggap andika penghianat skrng jelas2 dia kandidat boneka drama mata kita belum kebuka btw dulu hrusnya ga ush pilih pak prabowo biar nyahok lu gua cukup ngamatin dr luar krusakan yg hakiki n harga diri negara yg rendah krn masi banyak boneka drama,"andika_hendi, luthfi_taj"
orang jawa tengah selalu mengutamakan adab dan unggah ungguh dan inilah yang di cerminkan pak andika tatas tetes lan mrantasi,andika_hendi
1 pokoke,andika_hendi
siapa yg nonton d ytb hp layar dibesarkan trs fokus sm org botak baju hitam berkacamata _,unknown
jateng pasti lebih baik d tangan andika hendi,andika_hendi
sampang sempor tetep no 1 pak andika perkasa,andika_hendi
wkwk ono kasus wingi nek iseh ono sek milih brarti goblok bgt calon pemimpin kongono,unknown
kok jawabnya liat teks mulu,unknown
saya percaya paslon 1 pak andika dan pak hendi mampu memberikan yang terbaik jika memimpin jawa tengah,andika_hendi
"gilak public speaking kedua paslon bagus bgt
sbnyak nonton ini yang seru sih sama2 pinter",luthfi_taj
andika,andika_hendi
andika perkasa bersama rakyat,andika_hendi
jateng wajib pilih rambo jangan sambo jateng cinta tni dari pada polri andika hendy 1,"andika_hendi, luthfi_taj"
nk di hapus kartu tani trs wong tani kon tuku larang hoo,unknown
aq wong deso sek penting petani makmur harga cabe normal klau petani gk di gatekne hayo pie neh ra bakal makmur,unknown
PAK LUTHFI DAN GUS YASIN UNTUK JATENG LEBIH BAIK,luthfi_taj
konyol si ahmad lutfi debat kok bawa buku bawa contekan,luthfi_taj
"sepatu demak dilayar
eh dia bilangnya kendal",unknown
wong jateng anti polisi sambo,luthfi_taj
all in 2 oke gass,luthfi_taj
sejak kapan tempe larang pak,unknown
jateng perkasa,andika_hendi
hati bansos dah mulai di tayangkan di fesbuk cari mangsa jangan terkecoh satu tunjun untuk 01,andika_hendi
wonosobo pinggiran barat selalu 01 mantaap,andika_hendi
aku malah bingung sama calon no 02 setiap berbicara selalu banyak janji ini itunanti jika terpilih dilaksanakan semua gak yakok malah ragu aku,luthfi_taj
dua duanya mantab,luthfi_taj
mantap andika,andika_hendi
"pilih andika rambo __tni jujur  lurus
 pilih tni drpd polisi  jangan pilih orangnya jokowi  pilih baju hijau pejuang _ buang sambo wereng coklat nepotisme jijik","andika_hendi, luthfi_taj"
"gw bukan warga jateng
tp klo dsruh milih gw milih pak andika
lebih meyakinkan",andika_hendi
aku dari jakarta lebih suka program pasangan  andikahendi lebih visioner jelas dan yg terpenting bukan titipan penguasa,andika_hendi
opo tahu kethek gethuk kethek kali pak,unknown
pak andika hendy  insyaallah saya pilih belio barakallah,andika_hendi
wallah02muluk2 men,luthfi_taj
mas andika lbh baik jawabnya intinya sj stlh itu mas hendi diberikan waktu sy liat jawaban mas hendi simple dan jelas,andika_hendi
lagilagi kartu strategi usang kita butuh pertama kesadaran warga masyarakat bersemangat baru bikin kebijakan kalau warga tidak sadar dan semangat percuma saja buang2 anggaran,luthfi_taj
paslon no 2 msh belum bisa membedakan antara visi isi usulan  masalah dan usulan kegitan ini paparan calon gubernur harus paham konsep makro dan mikro maaf itu pendapat saya saja,luthfi_taj
mantan tni masih dihati mantan polri maaf ya belum ada ruang dihati kami jateng perkasa,andika_hendi
woy nek jateng pinter piliho seng sejalan mbe pusat ben lancar proyek2 kabeh mikiro,luthfi_taj
keren semuanya,unknown
bagaimana rmh dgn non  muslim  gus,luthfi_taj
gak perlu muluk2 kek layang2 janjinya yg wajar2 saja yg penting pada bisa terealisasi,luthfi_taj
mas hendy yes,andika_hendi
andika  nomer 1,andika_hendi
o2 jauh masalah cara bicaranya sama 01,"andika_hendi, luthfi_taj"
batang siap menangkan bapak jendral andika perkasa,andika_hendi
bismillah grobogan ttp pk andika insya allah,andika_hendi
andika perkasa pasti menang,andika_hendi
trimakasih pak andika sudah mau sowan ke desakukami sekeluwarga sudah menentukan pilihan ke pak andikahendi,andika_hendi
o2 sibuk siapkan jiplak an,luthfi_taj
pak hendi sy sudah nge fans beliau dari waktu walikota semarang kotanya maju dan rapi bismillah nyoblos beliau semoga bisa bermanfaat untuk kemajuan jawa tengah,andika_hendi
"lutpi dari awal cuma bawa2 jokowi sama pak prabowo dah gitu kertas contekan yg di print banyak banget wis mesti kalah pi lutpi
insyaallah pak andika pasti menang dan saya akan pilih pak andika di pemilu nanti","andika_hendi, luthfi_taj"
kakeyen kartu um kandel dompete,unknown
andika hendi rendah hati tegas dn berwibawa,andika_hendi
sbnrnya kalau untuk debat pak andika bagus ya tapi takutnya besok kalau pak andika jadi apakah dia bakal disetir mak banteng partai belakang nya dia yang bikin saya ilfill,"andika_hendi, luthfi_taj"
24453,luthfi_taj
itu klosing penutup malah jadi ajang idol wkwwk,unknown
pada sibuk urusan ngobrol2 banjir n longsor atuh diurusin dl,luthfi_taj
wakilnya sama pernah di jateng tapi pak hendi lebih nyata kinerjanya pas jadi walikota berbanding terbalik sama gus yasin,"andika_hendi, luthfi_taj"
